Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
125,Arvin-Edison,San Joaquin Valley,12/1/2012,336,0.06, ,0.04, ,195, ,14.4,Y,73.3,Y,49.6,Y,61.0, ,98, ,49, ,78,Y,54.2,Y,3.2, ,76.4, ,59.2,Y
125,Arvin-Edison,San Joaquin Valley,12/2/2012,337,0.05, ,0.04, ,170, ,15.5,R,72.5,Y,54.7,Y,61.8, ,98, ,57, ,,R,,I,3.9, ,93.4, ,60.1,Y
125,Arvin-Edison,San Joaquin Valley,12/3/2012,338,0.01, ,0.16, ,72, ,14.6,Y,59.4, ,47.2, ,56.2, ,100, ,81, ,95,Y,54.7,Y,3.9, ,93.3, ,60.4,Y
125,Arvin-Edison,San Joaquin Valley,12/4/2012,339,0.05, ,0.00, ,198, ,11.2, ,64.5, ,40.5, ,50.9, ,98, ,63, ,88, ,47.6, ,2.4, ,56.7, ,58.3, 
125,Arvin-Edison,San Joaquin Valley,12/5/2012,340,0.06, ,0.00, ,227, ,10.5, ,69.6, ,42.0, ,53.9, ,95, ,46, ,74, ,45.9, ,2.6, ,63.1, ,57.1, 
125,Arvin-Edison,San Joaquin Valley,12/6/2012,341,0.03, ,0.04, ,122, ,14.3,Y,61.1, ,52.8,Y,56.7, ,99, ,74, ,91,Y,54.1,Y,3.3, ,78.8, ,58.3, 
125,Arvin-Edison,San Joaquin Valley,12/7/2012,342,0.01, ,0.28, ,63, ,14.2,Y,57.4, ,50.7,Y,54.8, ,100, ,89, ,97,Y,54.0,Y,3.2, ,77.6, ,58.9,Y
125,Arvin-Edison,San Joaquin Valley,12/8/2012,343,0.04, ,0.00, ,177, ,11.4, ,60.2, ,42.5, ,51.0, ,100, ,70, ,90, ,48.1, ,2.2, ,52.1, ,57.5, 
125,Arvin-Edison,San Joaquin Valley,12/9/2012,344,0.03, ,0.00, ,150, ,11.1, ,57.3, ,43.2, ,50.8, ,98, ,70, ,87, ,47.2, ,2.6, ,62.6, ,56.9, 
125,Arvin-Edison,San Joaquin Valley,12/10/2012,345,0.05, ,0.04, ,242, ,9.8, ,61.7, ,36.9, ,47.0, ,99, ,64, ,89, ,44.0, ,2.4, ,58.1, ,55.5, 
125,Arvin-Edison,San Joaquin Valley,12/11/2012,346,0.06, ,0.00, ,252, ,9.8, ,65.1, ,36.3, ,47.9, ,99, ,58, ,86, ,44.0, ,2.3, ,55.0, ,54.4, 
125,Arvin-Edison,San Joaquin Valley,12/12/2012,347,0.06, ,0.28, ,194, ,9.8, ,64.3, ,38.9, ,50.8, ,98, ,46, ,78, ,44.1, ,4.5, ,107.8, ,54.1, 
125,Arvin-Edison,San Joaquin Valley,12/13/2012,348,0.01, ,0.31, ,73, ,9.4, ,49.5, ,42.3, ,46.0, ,99, ,75, ,89, ,43.0, ,3.8, ,92.0, ,54.0, 
125,Arvin-Edison,San Joaquin Valley,12/14/2012,349,0.03,H,0.00,H,147,H,8.2,H,51.6, ,37.3, ,45.9,H,97,H,62,H,78, ,39.5, ,2.8,H,66.8,H,53.5,H
125,Arvin-Edison,San Joaquin Valley,12/15/2012,350,0.04, ,0.00, ,169, ,8.0, ,53.1, ,34.8, ,43.0, ,98, ,57, ,84, ,38.6, ,2.3, ,55.5, ,51.8, 
125,Arvin-Edison,San Joaquin Valley,12/16/2012,351,0.05, ,0.00, ,202, ,9.6, ,62.1, ,36.4, ,49.2, ,95, ,55, ,80, ,43.4, ,2.9, ,69.8, ,51.7, 
125,Arvin-Edison,San Joaquin Valley,12/17/2012,352,0.06, ,0.04, ,228, ,12.1, ,67.7, ,46.6, ,55.6, ,96, ,54, ,81, ,49.7, ,2.6, ,61.5, ,54.0, 
