Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
157,Point San Pedro,San Francisco Bay,12/1/2012,336,0.02, ,0.08,H,90, ,15.4,R,61.6, ,56.4,Y,58.6, ,95, ,84, ,,R,,I,6.8,R,162.2,R,57.7,Y
157,Point San Pedro,San Francisco Bay,12/2/2012,337,0.04, ,0.04, ,158, ,12.8,Y,63.0, ,43.4, ,55.7, ,96, ,55, ,85,Y,51.1,Y,6.0,R,145.1,R,58.2,Y
157,Point San Pedro,San Francisco Bay,12/3/2012,338,0.05, ,0.02, ,234, ,10.3, ,60.4, ,38.8, ,48.7, ,98, ,64, ,88, ,45.3, ,1.8, ,43.3, ,56.3,Y
157,Point San Pedro,San Francisco Bay,12/4/2012,339,0.02, ,0.02, ,87, ,12.9,Y,59.0, ,48.8, ,54.4, ,96, ,78, ,89,Y,51.2,Y,3.5,Y,83.8,Y,56.1,Y
157,Point San Pedro,San Francisco Bay,12/5/2012,340,0.01, ,0.02, ,50, ,15.4,R,59.8, ,55.1,Y,57.7, ,96, ,93, ,,R,,I,3.6,Y,85.6,Y,57.0,Y
157,Point San Pedro,San Francisco Bay,12/6/2012,341,0.03, ,0.02, ,143, ,11.9,Y,62.1, ,43.1, ,53.2, ,96, ,62, ,86,Y,49.1,Y,2.1, ,50.5, ,57.7,Y
157,Point San Pedro,San Francisco Bay,12/7/2012,342,0.05, ,0.01, ,231, ,9.3, ,63.6, ,37.1, ,46.2, ,98, ,56, ,87, ,42.7, ,2.0, ,47.2, ,55.9,Y
157,Point San Pedro,San Francisco Bay,12/8/2012,343,0.03, ,0.01, ,155, ,9.4, ,55.4, ,37.6, ,45.2, ,98, ,68, ,91, ,42.8, ,1.9, ,46.0, ,54.1, 
157,Point San Pedro,San Francisco Bay,12/9/2012,344,0.06, ,0.02, ,214, ,9.5, ,67.7, ,37.7, ,48.8, ,98, ,51, ,81, ,43.1, ,1.9, ,46.7, ,53.3, 
157,Point San Pedro,San Francisco Bay,12/10/2012,345,0.06, ,0.02, ,227, ,9.7, ,62.5, ,40.6, ,49.7, ,97, ,55, ,80, ,43.9, ,2.0, ,49.1, ,53.2, 
157,Point San Pedro,San Francisco Bay,12/11/2012,346,0.02, ,0.01, ,110, ,10.0, ,56.2, ,36.1, ,47.3, ,98, ,73, ,90, ,44.5, ,2.5, ,60.7, ,52.6, 
157,Point San Pedro,San Francisco Bay,12/12/2012,347,0.05, ,0.02, ,205, ,8.6, ,56.8, ,36.4, ,49.5, ,91, ,54, ,71, ,40.5, ,3.2, ,76.2, ,53.1, 
157,Point San Pedro,San Francisco Bay,12/13/2012,348,0.05, ,0.02, ,230, ,7.2, ,55.7, ,33.1, ,42.0, ,98, ,48, ,79, ,35.9, ,2.0, ,48.5, ,51.8, 
157,Point San Pedro,San Francisco Bay,12/14/2012,349,0.02, ,0.00,R,124, ,8.1, ,50.5, ,33.6, ,42.4, ,98, ,67, ,88, ,39.0, ,1.7, ,42.0, ,50.6, 
157,Point San Pedro,San Francisco Bay,12/15/2012,350,0.00, ,0.20, ,39, ,8.6, ,47.9, ,32.2, ,42.9, ,98, ,83, ,92, ,40.8, ,2.5, ,60.9, ,49.6, 
157,Point San Pedro,San Francisco Bay,12/16/2012,351,0.01, ,0.17, ,56, ,10.8, ,55.4, ,45.0, ,49.3, ,95, ,82, ,90, ,46.6, ,3.6,Y,85.5,Y,50.3, 
157,Point San Pedro,San Francisco Bay,12/17/2012,352,0.03, ,0.38, ,118, ,11.4, ,58.9, ,46.5, ,54.0, ,94, ,67, ,80, ,47.9, ,4.3,R,104.3,R,52.2, 
157,Point San Pedro,San Francisco Bay,12/18/2012,353,0.07, ,0.00, ,225, ,5.2, ,53.5, ,38.8, ,46.7, ,67, ,35, ,48, ,27.9, ,4.1,Y,97.2,Y,51.6, 
157,Point San Pedro,San Francisco Bay,12/19/2012,354,0.05, ,0.00, ,226, ,5.7, ,52.9, ,28.3, ,38.4, ,97, ,36, ,73, ,30.5, ,1.9, ,45.2, ,49.5, 
157,Point San Pedro,San Francisco Bay,12/20/2012,355,0.05, ,0.00, ,96, ,7.6, ,54.8, ,29.6, ,45.8, ,99, ,54, ,72, ,37.3, ,5.8,R,140.2,R,48.0, 
157,Point San Pedro,San Francisco Bay,12/21/2012,356,0.02, ,1.07, ,48, ,11.2, ,55.2, ,49.5, ,52.8, ,92, ,64, ,82, ,47.4, ,8.7,R,209.1,R,49.3, 
157,Point San Pedro,San Francisco Bay,12/22/2012,357,0.05, ,0.94, ,169, ,10.8, ,59.0, ,48.2, ,52.6, ,93, ,59, ,80, ,46.7, ,4.8,R,115.4,R,51.0, 
157,Point San Pedro,San Francisco Bay,12/23/2012,358,0.01, ,1.52, ,31, ,12.1,Y,58.4, ,47.9, ,53.0, ,93, ,75, ,88,Y,49.5,Y,7.2,R,172.0,R,51.6, 
157,Point San Pedro,San Francisco Bay,12/24/2012,359,0.05, ,0.00, ,227, ,9.0, ,55.4, ,38.1, ,46.1, ,97, ,60, ,84, ,41.7, ,2.0, ,48.5, ,51.0, 
157,Point San Pedro,San Francisco Bay,12/25/2012,360,0.00, ,1.20, ,27, ,9.3, ,50.9, ,37.5, ,44.4, ,98, ,80, ,94, ,42.7, ,2.8, ,66.8, ,49.9, 
157,Point San Pedro,San Francisco Bay,12/26/2012,361,0.05, ,0.09, ,193, ,9.3, ,55.9, ,44.9, ,49.9, ,90, ,63, ,76, ,42.5, ,3.8,Y,91.4,Y,49.4, 
157,Point San Pedro,San Francisco Bay,12/27/2012,362,0.05, ,0.00, ,234, ,7.7, ,54.3, ,36.2, ,45.7, ,97, ,52, ,74, ,37.9, ,2.4, ,58.3, ,49.8, 
157,Point San Pedro,San Francisco Bay,12/28/2012,363,0.01, ,0.11, ,72, ,8.2, ,47.7, ,34.3, ,41.9, ,98, ,78, ,91, ,39.3, ,3.1, ,74.5, ,48.7, 
157,Point San Pedro,San Francisco Bay,12/29/2012,364,0.03, ,0.10, ,137, ,8.1, ,54.8, ,34.5, ,44.0, ,98, ,64, ,83, ,39.1, ,2.5, ,60.1, ,48.8, 
157,Point San Pedro,San Francisco Bay,12/30/2012,365,0.05, ,0.00, ,233, ,7.3, ,56.5, ,33.2, ,42.5, ,99, ,47, ,79, ,36.5, ,1.9, ,46.5, ,48.1, 
157,Point San Pedro,San Francisco Bay,12/31/2012,366,0.05, ,0.00, ,232, ,6.4, ,54.0, ,28.6, ,40.1, ,98, ,40, ,76, ,33.0, ,1.8, ,43.9, ,47.2, 
157,Point San Pedro,San Francisco Bay,1/1/2013,001,0.05, ,0.00, ,236, ,6.8, ,53.9, ,32.4, ,42.8, ,98, ,44, ,73, ,34.7, ,2.7, ,65.0, ,47.3, 
157,Point San Pedro,San Francisco Bay,1/2/2013,002,0.05, ,0.00, ,248, ,6.2, ,54.6, ,29.8, ,40.5, ,98, ,43, ,72, ,32.4, ,2.2, ,52.5, ,46.6, 
157,Point San Pedro,San Francisco Bay,1/3/2013,003,0.05, ,0.00, ,216, ,7.1, ,53.9, ,32.0, ,41.6, ,97, ,60, ,80, ,35.8, ,2.3, ,54.0, ,45.9, 
157,Point San Pedro,San Francisco Bay,1/4/2013,004,0.05, ,0.00, ,239, ,7.4, ,55.3, ,33.9, ,44.0, ,97, ,51, ,75, ,36.7, ,2.5, ,60.5, ,45.9, 
