Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
56,Los Banos,San Joaquin Valley,12/1/2012,336,0.01, ,0.09, ,68, ,9.3, ,54.8, ,37.1, ,45.6, ,92, ,86, ,89, ,42.6, ,8.9, ,213.9, ,57.7,Y
56,Los Banos,San Joaquin Valley,12/2/2012,337,0.02, ,0.37, ,51, ,10.7, ,59.7, ,35.6, ,49.4, ,92, ,82, ,89, ,46.4, ,9.2,Y,221.4,Y,58.4,Y
56,Los Banos,San Joaquin Valley,12/3/2012,338,0.05, ,0.00, ,229, ,9.2, ,63.6, ,33.2, ,47.7, ,90, ,59, ,81, ,42.3, ,2.2, ,51.6, ,57.9,Y
56,Los Banos,San Joaquin Valley,12/4/2012,339,0.02, ,0.01, ,144, ,8.3, ,54.8, ,31.8, ,41.5, ,93, ,85, ,93, ,39.7, ,3.5, ,85.0, ,57.4,Y
56,Los Banos,San Joaquin Valley,12/5/2012,340,0.01, ,0.19, ,80, ,8.7, ,54.2, ,35.7, ,42.8, ,93, ,86, ,93, ,40.9, ,4.5, ,109.0, ,57.7,Y
56,Los Banos,San Joaquin Valley,12/6/2012,341,0.03, ,0.00, ,127, ,10.0, ,60.6, ,36.9, ,48.7, ,93, ,74, ,86, ,44.6, ,6.0, ,144.0, ,58.2,Y
56,Los Banos,San Joaquin Valley,12/7/2012,342,0.06, ,0.00, ,248, ,9.7, ,61.5, ,37.3, ,51.9, ,89, ,50, ,73, ,43.6, ,3.1, ,73.6, ,57.9,Y
56,Los Banos,San Joaquin Valley,12/8/2012,343,0.01, ,0.01, ,116, ,6.2, ,45.1, ,25.7, ,34.5, ,93, ,86, ,92, ,32.5, ,2.6, ,62.3, ,56.3, 
56,Los Banos,San Joaquin Valley,12/9/2012,344,0.04,H,0.01, ,230, ,6.0, ,59.2, ,,S,30.4,H,100,H,49,H,100, ,31.6, ,1.9, ,46.4, ,55.6, 
56,Los Banos,San Joaquin Valley,12/10/2012,345,0.05, ,0.01, ,227, ,8.6, ,62.3, ,32.2, ,45.5, ,93, ,57, ,83, ,40.5, ,1.2, ,29.3, ,54.7, 
56,Los Banos,San Joaquin Valley,12/11/2012,346,0.04, ,0.01, ,195, ,8.8, ,58.4, ,33.3, ,44.8, ,94, ,69, ,87, ,41.3, ,3.8, ,90.1, ,54.1, 
