Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
77,Oakville,North Coast Valleys,12/1/2012,336,0.02, ,1.26,R,86, ,15.6,Y,61.4, ,55.8,Y,58.2, ,98, ,89, ,94,Y,56.6,Y,5.2, ,124.5, ,,S
77,Oakville,North Coast Valleys,12/2/2012,337,0.04, ,1.88,R,167, ,13.1, ,63.1, ,42.4, ,55.0, ,97, ,59, ,89, ,51.7, ,5.7, ,136.6, ,,S
77,Oakville,North Coast Valleys,12/3/2012,338,0.05, ,0.01, ,218, ,10.6, ,63.2, ,38.6, ,49.6, ,99, ,60, ,88, ,46.1, ,2.4, ,57.3, ,56.6,R
77,Oakville,North Coast Valleys,12/4/2012,339,0.01, ,0.32,R,55, ,12.8, ,58.1, ,49.0, ,53.7, ,95, ,81, ,91, ,51.0, ,2.2, ,53.9, ,56.6,R
77,Oakville,North Coast Valleys,12/5/2012,340,0.01, ,0.31,R,53, ,15.5,Y,59.9, ,54.3,Y,56.8, ,99, ,96, ,98,Y,56.3,Y,2.0, ,47.0, ,57.2,R
77,Oakville,North Coast Valleys,12/6/2012,341,0.04, ,0.00, ,182, ,13.1, ,63.1, ,43.2, ,53.6, ,99, ,66, ,93, ,51.7, ,2.5, ,60.7, ,,S
77,Oakville,North Coast Valleys,12/7/2012,342,0.05, ,0.01, ,247, ,9.7, ,63.1, ,35.1, ,46.6, ,99, ,62, ,90, ,43.8, ,2.3, ,54.9, ,56.2,R
77,Oakville,North Coast Valleys,12/8/2012,343,0.04, ,0.01, ,190, ,9.0, ,56.7, ,34.2, ,44.4, ,99, ,72, ,91, ,41.9, ,2.3, ,55.6, ,54.4,Y
77,Oakville,North Coast Valleys,12/9/2012,344,0.08, ,0.00, ,231, ,9.0, ,72.1, ,39.1, ,54.7, ,96, ,33, ,62, ,41.8, ,3.8, ,90.4, ,53.6,Y
77,Oakville,North Coast Valleys,12/10/2012,345,0.06, ,0.00, ,246, ,10.5, ,70.4, ,41.5, ,52.6, ,96, ,46, ,77, ,45.7, ,2.7, ,64.3, ,54.0,Y
77,Oakville,North Coast Valleys,12/11/2012,346,0.05, ,0.02, ,205, ,9.8, ,60.5, ,35.9, ,47.2, ,98, ,70, ,89, ,44.0, ,3.3, ,79.9, ,53.3,Y
77,Oakville,North Coast Valleys,12/12/2012,347,0.05, ,0.01, ,220, ,8.4, ,56.2, ,34.4, ,44.8, ,96, ,52, ,83, ,40.0, ,2.9, ,70.2, ,53.3,Y
77,Oakville,North Coast Valleys,12/13/2012,348,0.06, ,0.00, ,241, ,6.6, ,55.3, ,31.8, ,40.7, ,95, ,40, ,77, ,34.0, ,3.0, ,73.0, ,51.7, 
77,Oakville,North Coast Valleys,12/14/2012,349,0.03, ,0.00, ,121, ,7.2, ,52.3, ,30.6, ,39.5, ,96, ,63, ,87, ,35.9, ,2.2, ,51.9, ,50.4, 
77,Oakville,North Coast Valleys,12/15/2012,350,0.00, ,0.17, ,42, ,7.6, ,43.6,Y,29.2, ,38.3, ,97, ,94, ,97, ,37.5, ,2.1, ,49.9, ,49.5, 
77,Oakville,North Coast Valleys,12/16/2012,351,0.01, ,0.19, ,75, ,10.6, ,52.8, ,41.8, ,46.9, ,98, ,93, ,97, ,46.0, ,3.5, ,84.0, ,50.0, 
77,Oakville,North Coast Valleys,12/17/2012,352,0.03, ,0.12, ,142, ,11.4, ,60.2, ,37.0, ,51.0, ,96, ,64, ,89, ,47.9, ,3.4, ,80.5, ,51.8, 
77,Oakville,North Coast Valleys,12/18/2012,353,0.06, ,0.01, ,231, ,5.9, ,53.5, ,29.2, ,38.8, ,97, ,37, ,74, ,31.2, ,3.7, ,88.1, ,50.8, 
77,Oakville,North Coast Valleys,12/19/2012,354,0.05, ,0.00, ,237, ,5.2, ,51.0, ,24.6, ,35.4, ,93, ,39, ,74, ,28.0, ,2.6, ,61.5, ,48.5, 
77,Oakville,North Coast Valleys,12/20/2012,355,0.07, ,0.06, ,208, ,7.0, ,55.5, ,26.6, ,43.8, ,94, ,52, ,72, ,35.2, ,5.3, ,126.5, ,47.5, 
77,Oakville,North Coast Valleys,12/21/2012,356,0.01, ,1.70, ,42, ,11.0, ,53.9, ,47.9, ,50.8, ,94, ,66, ,87, ,47.0, ,5.7, ,137.2, ,49.0, 
77,Oakville,North Coast Valleys,12/22/2012,357,0.04, ,1.22,R,149, ,10.2, ,57.1, ,45.0, ,50.2, ,94, ,56, ,82, ,44.9, ,4.5, ,106.9, ,50.4, 
77,Oakville,North Coast Valleys,12/23/2012,358,0.00, ,2.82,R,35, ,11.6, ,57.5, ,42.0, ,49.9, ,97, ,90, ,95, ,48.4, ,4.8, ,115.9, ,50.6, 
77,Oakville,North Coast Valleys,12/24/2012,359,0.05, ,0.02, ,226, ,8.6, ,56.9, ,35.5, ,44.1, ,98, ,59, ,87, ,40.6, ,2.8, ,67.4, ,48.8, 
77,Oakville,North Coast Valleys,12/25/2012,360,0.00, ,0.71,R,31, ,8.7, ,45.1, ,36.5, ,41.8, ,97, ,94, ,97, ,40.9, ,2.5, ,59.0, ,49.2, 
77,Oakville,North Coast Valleys,12/26/2012,361,0.03, ,0.53,R,156, ,8.8, ,56.8, ,38.1, ,44.8, ,99, ,61, ,87, ,41.2, ,3.3, ,78.8, ,49.0, 
77,Oakville,North Coast Valleys,12/27/2012,362,0.05, ,0.00, ,239, ,7.7, ,58.0, ,34.1, ,43.3, ,95, ,45, ,80, ,37.7, ,2.5, ,60.1, ,49.5, 
77,Oakville,North Coast Valleys,12/28/2012,363,0.01, ,0.01, ,61, ,7.3, ,47.7, ,31.2, ,40.0, ,97, ,70, ,87, ,36.5, ,2.9, ,69.6, ,48.8, 
77,Oakville,North Coast Valleys,12/29/2012,364,0.04, ,0.00, ,159, ,7.3, ,56.6, ,35.5, ,45.4, ,94, ,47, ,71, ,36.5, ,3.6, ,87.2, ,48.7, 
77,Oakville,North Coast Valleys,12/30/2012,365,0.06, ,0.00, ,246, ,6.3, ,57.2, ,32.2, ,43.8, ,96, ,37, ,65, ,32.9, ,3.7, ,88.9, ,48.3, 
77,Oakville,North Coast Valleys,12/31/2012,366,0.05, ,0.00, ,228, ,5.7, ,55.6, ,30.6, ,41.9, ,94, ,32, ,63, ,30.3, ,2.9, ,68.5, ,47.6, 
77,Oakville,North Coast Valleys,1/1/2013,001,0.06, ,0.00, ,245, ,5.9, ,56.7, ,30.4, ,40.3, ,95, ,32, ,69, ,31.0, ,3.2, ,78.0, ,47.1, 
77,Oakville,North Coast Valleys,1/2/2013,002,0.06, ,0.00, ,254, ,5.6, ,62.2, ,28.6, ,41.8, ,90, ,28, ,62, ,29.7, ,3.0, ,72.6, ,46.3, 
77,Oakville,North Coast Valleys,1/3/2013,003,0.05, ,0.00, ,217, ,6.2, ,57.4, ,26.2, ,38.2, ,94, ,40, ,79, ,32.3, ,2.2, ,54.0, ,45.8, 
77,Oakville,North Coast Valleys,1/4/2013,004,0.05, ,0.00, ,243, ,7.0, ,62.5, ,29.5, ,41.3, ,95, ,38, ,79, ,35.4, ,2.3, ,55.0, ,45.7, 
77,Oakville,North Coast Valleys,1/5/2013,005,0.00, ,0.51,R,44, ,8.2, ,49.0, ,32.0, ,41.5, ,95, ,77, ,92, ,39.3, ,2.4, ,57.4, ,45.9, 
77,Oakville,North Coast Valleys,1/6/2013,006,0.02, ,0.03, ,102, ,8.8, ,53.3, ,34.2, ,44.3, ,96, ,69, ,89, ,41.3, ,2.3, ,54.4, ,47.1, 
77,Oakville,North Coast Valleys,1/7/2013,007,0.04, ,0.00, ,202, ,8.8, ,59.8, ,33.2, ,43.7, ,98, ,58, ,90, ,41.1, ,2.3, ,54.9, ,47.2, 
77,Oakville,North Coast Valleys,1/8/2013,008,0.04, ,0.01, ,218, ,9.5, ,60.5, ,38.3, ,45.1, ,97, ,71, ,93, ,43.2, ,2.0, ,48.5, ,48.0, 
77,Oakville,North Coast Valleys,1/9/2013,009,0.01, ,0.02,R,77, ,8.6, ,48.3, ,32.0, ,44.5, ,98, ,68, ,86, ,40.6, ,4.2, ,99.8, ,48.2, 
77,Oakville,North Coast Valleys,1/10/2013,010,0.04, ,0.00, ,222, ,6.1, ,52.5, ,31.2, ,39.4, ,93, ,50, ,75, ,32.0, ,3.4, ,81.6, ,47.2, 
77,Oakville,North Coast Valleys,1/11/2013,011,0.03, ,0.00, ,160, ,6.2, ,49.6, ,27.4, ,36.9, ,93, ,57, ,83, ,32.2, ,2.5, ,59.9, ,45.9, 
77,Oakville,North Coast Valleys,1/12/2013,012,0.05, ,0.00, ,268, ,5.2, ,51.5, ,27.8, ,37.5, ,93, ,34, ,69, ,28.1, ,2.5, ,61.0, ,45.4, 
