Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
44,U.C. Riverside,Los Angeles Basin,12/1/2012,336,0.02, ,0.00, ,100, ,14.3,R,64.3, ,57.9,Y,60.4, ,87, ,66, ,,R,,I,2.3, ,55.2, ,61.5,Y
44,U.C. Riverside,Los Angeles Basin,12/2/2012,337,0.02, ,0.02, ,99, ,14.0,R,64.1, ,57.3,Y,59.4, ,86, ,68, ,,R,,I,3.0, ,71.5, ,61.6,Y
44,U.C. Riverside,Los Angeles Basin,12/3/2012,338,0.04, ,0.03, ,170, ,14.0,R,66.9, ,57.1,Y,60.2, ,85, ,63, ,,R,,I,2.8, ,66.2, ,61.5,Y
44,U.C. Riverside,Los Angeles Basin,12/4/2012,339,0.05, ,0.00, ,224, ,13.1,Y,70.4, ,51.8, ,60.2, ,86, ,52, ,73,Y,51.7,Y,2.4, ,58.7, ,61.7,R
44,U.C. Riverside,Los Angeles Basin,12/5/2012,340,0.08, ,0.00, ,289, ,10.2, ,72.1, ,45.6, ,57.6, ,85, ,32, ,63, ,45.2, ,2.6, ,61.2, ,59.4,Y
44,U.C. Riverside,Los Angeles Basin,12/6/2012,341,0.06, ,0.00, ,250, ,11.9,Y,64.4, ,50.8, ,55.9, ,86, ,61, ,78,Y,49.1,Y,2.8, ,66.6, ,59.6,Y
44,U.C. Riverside,Los Angeles Basin,12/7/2012,342,0.09, ,0.00, ,296, ,10.3, ,76.4, ,47.4, ,58.8, ,84, ,21, ,61, ,45.2, ,3.7, ,88.8, ,58.6,Y
44,U.C. Riverside,Los Angeles Basin,12/8/2012,343,0.07, ,0.00, ,290, ,8.7, ,69.3, ,45.3, ,55.8, ,81, ,32, ,57, ,40.8, ,2.8, ,67.0, ,56.9, 
44,U.C. Riverside,Los Angeles Basin,12/9/2012,344,0.07, ,0.00, ,289, ,9.1, ,70.5, ,41.6, ,54.5, ,84, ,32, ,63, ,42.0, ,2.8, ,66.5, ,56.7, 
44,U.C. Riverside,Los Angeles Basin,12/10/2012,345,0.10, ,0.00, ,301, ,5.3, ,74.9, ,47.8, ,60.0, ,54, ,16, ,30, ,28.3, ,3.9, ,92.4, ,55.6, 
