Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
126,San Benito,Monterey Bay,12/1/2012,336,0.04,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
126,San Benito,Monterey Bay,12/2/2012,337,0.04,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
126,San Benito,Monterey Bay,12/3/2012,338,0.03,H,0.00,H,225,H,13.8,H,59.8, ,51.7,Y,55.6,H,98,H,83,H,92, ,53.1, ,2.2,H,53.1,H,58.3,H
126,San Benito,Monterey Bay,12/4/2012,339,0.04, ,0.00, ,157, ,13.4, ,60.3, ,47.4, ,54.2, ,99, ,80, ,93, ,52.3, ,2.1, ,51.3, ,58.0, 
126,San Benito,Monterey Bay,12/5/2012,340,0.02, ,0.20, ,101, ,16.6,Y,64.8, ,54.7,Y,58.8, ,100, ,94, ,98,Y,58.3,Y,2.2, ,52.4, ,59.0,Y
126,San Benito,Monterey Bay,12/6/2012,341,0.03, ,0.00, ,146, ,14.6, ,60.5, ,50.4, ,57.1, ,100, ,83, ,92, ,54.6, ,3.7, ,89.7, ,59.8,Y
126,San Benito,Monterey Bay,12/7/2012,342,0.06, ,0.00, ,235, ,11.5, ,64.1, ,42.9, ,51.2, ,100, ,65, ,90, ,48.3, ,1.7, ,41.3, ,58.8,Y
126,San Benito,Monterey Bay,12/8/2012,343,0.05, ,0.00, ,221, ,10.0, ,61.0, ,36.9, ,47.4, ,100, ,69, ,90, ,44.7, ,1.8, ,44.2, ,57.1, 
126,San Benito,Monterey Bay,12/9/2012,344,0.06, ,0.00, ,222, ,9.3, ,64.8, ,38.8, ,50.0, ,98, ,51, ,76, ,42.6, ,1.8, ,43.6, ,56.0, 
126,San Benito,Monterey Bay,12/10/2012,345,0.06, ,0.00, ,228, ,10.4, ,69.2, ,40.4, ,51.4, ,96, ,51, ,81, ,45.6, ,1.9, ,45.9, ,55.5, 
126,San Benito,Monterey Bay,12/11/2012,346,0.06, ,0.00, ,233, ,10.5, ,66.1, ,37.4, ,50.0, ,99, ,56, ,85, ,45.8, ,2.4, ,57.7, ,55.0, 
126,San Benito,Monterey Bay,12/12/2012,347,0.04, ,0.04, ,150, ,10.3, ,56.7, ,43.3, ,50.3, ,97, ,64, ,83, ,45.2, ,2.9, ,69.2, ,55.4, 
126,San Benito,Monterey Bay,12/13/2012,348,0.05, ,0.06, ,231, ,8.2, ,55.7, ,33.4, ,42.2, ,99, ,66, ,90, ,39.5, ,2.0, ,47.7, ,54.2, 
126,San Benito,Monterey Bay,12/14/2012,349,0.02, ,0.00, ,121, ,7.8, ,50.2, ,32.0, ,40.8, ,99, ,70, ,90, ,38.1, ,1.8, ,44.0, ,52.3, 
126,San Benito,Monterey Bay,12/15/2012,350,0.04,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
126,San Benito,Monterey Bay,12/16/2012,351,0.04, ,0.00,H,259,H,11.9,H,57.9, ,43.4, ,53.3,H,96,H,76,H,86, ,49.1, ,2.1,H,51.5,H,51.8,H
126,San Benito,Monterey Bay,12/17/2012,352,0.02, ,0.10, ,97, ,13.1, ,62.4, ,49.1, ,53.0, ,100, ,79, ,96, ,51.8, ,2.6, ,63.1, ,53.2, 
126,San Benito,Monterey Bay,12/18/2012,353,0.06, ,0.00, ,226, ,7.7, ,52.3, ,36.0, ,44.4, ,98, ,45, ,77, ,37.7, ,3.5, ,84.9, ,53.1, 
126,San Benito,Monterey Bay,12/19/2012,354,0.05, ,0.00, ,230, ,6.1, ,53.9, ,30.6, ,40.2, ,94, ,44, ,72, ,31.8, ,2.0, ,49.0, ,50.9, 
126,San Benito,Monterey Bay,12/20/2012,355,0.05, ,0.00,H,352,R,6.3,H,58.2, ,33.6, ,44.4,H,89,H,37,H,63, ,32.6, ,1.9,H,46.1,H,49.2,H
126,San Benito,Monterey Bay,12/21/2012,356,0.03, ,0.04, ,107, ,8.5, ,60.5, ,30.5, ,46.4, ,89, ,61, ,80, ,40.5, ,3.6, ,86.9, ,48.5, 
126,San Benito,Monterey Bay,12/22/2012,357,0.01, ,0.43, ,58, ,11.8, ,56.5, ,48.1, ,51.8, ,98, ,79, ,90, ,48.8, ,3.0, ,71.0, ,50.2, 
126,San Benito,Monterey Bay,12/23/2012,358,0.01, ,0.27, ,49, ,12.3, ,56.3, ,43.5, ,52.3, ,98, ,84, ,91, ,49.9, ,3.6, ,86.8, ,50.8, 
126,San Benito,Monterey Bay,12/24/2012,359,0.05, ,0.00, ,225, ,10.5, ,57.5, ,40.1, ,49.4, ,98, ,67, ,87, ,45.8, ,2.2, ,52.9, ,51.9, 
126,San Benito,Monterey Bay,12/25/2012,360,0.03,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
126,San Benito,Monterey Bay,12/26/2012,361,0.03,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
126,San Benito,Monterey Bay,12/27/2012,362,0.01,H,0.00,H,86,H,8.8,H,55.7, ,37.5, ,45.6,H,97,H,66,H,84, ,41.1, ,1.9,H,46.5,H,51.0,H
126,San Benito,Monterey Bay,12/28/2012,363,0.01, ,0.00, ,88, ,8.3, ,49.3, ,32.8, ,41.4, ,99, ,84, ,94, ,39.8, ,1.7, ,40.7, ,49.4, 
126,San Benito,Monterey Bay,12/29/2012,364,0.03,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
126,San Benito,Monterey Bay,12/30/2012,365,0.04, ,0.00,H,315,R,8.6,H,53.0, ,34.4, ,44.4,H,99,H,75,H,87, ,40.6, ,2.5,H,59.5,H,48.1,H
126,San Benito,Monterey Bay,12/31/2012,366,0.05, ,0.00, ,227, ,6.9, ,53.0, ,30.2, ,40.5, ,99, ,49, ,80, ,34.9, ,2.0, ,47.6, ,47.6, 
126,San Benito,Monterey Bay,1/1/2013,001,0.05, ,0.00, ,228, ,7.3, ,55.8, ,33.5, ,42.2, ,96, ,54, ,80, ,36.5, ,2.2, ,52.7, ,47.6, 
126,San Benito,Monterey Bay,1/2/2013,002,0.05, ,0.00, ,240, ,7.2, ,62.8, ,30.1, ,42.1, ,97, ,45, ,79, ,36.0, ,2.0, ,47.4, ,47.1, 
126,San Benito,Monterey Bay,1/3/2013,003,0.05, ,0.00, ,218, ,7.2, ,60.1, ,29.5, ,41.8, ,94, ,53, ,80, ,36.1, ,2.0, ,46.9, ,46.7, 
126,San Benito,Monterey Bay,1/4/2013,004,0.05,H,0.00,R,243,H,9.4,H,62.6, ,40.3, ,50.9,H,95,H,53,H,74, ,43.0, ,2.3,H,54.2,H,47.1,H
126,San Benito,Monterey Bay,1/5/2013,005,0.03, ,0.54, ,160, ,9.9, ,57.2, ,37.2, ,47.2, ,99, ,71, ,89, ,44.2, ,2.4, ,56.8, ,47.4, 
126,San Benito,Monterey Bay,1/6/2013,006,0.00, ,0.41, ,47, ,9.8, ,47.5,Y,38.3, ,44.7, ,99, ,93, ,98, ,44.1, ,2.6, ,62.9, ,47.6, 
126,San Benito,Monterey Bay,1/7/2013,007,0.04, ,0.00, ,205, ,9.9, ,55.7, ,38.3, ,47.2, ,100, ,74, ,90, ,44.4, ,2.1, ,50.4, ,47.7, 
126,San Benito,Monterey Bay,1/8/2013,008,0.05, ,0.00, ,234, ,9.8, ,63.8, ,36.9, ,46.6, ,100, ,68, ,91, ,44.1, ,1.9, ,45.5, ,48.3, 
126,San Benito,Monterey Bay,1/9/2013,009,0.03, ,0.13, ,147, ,9.9, ,55.0, ,38.7, ,45.7, ,99, ,84, ,95, ,44.4, ,2.8, ,66.6, ,48.5, 
126,San Benito,Monterey Bay,1/10/2013,010,0.04, ,0.00, ,178, ,7.4, ,50.1, ,36.1, ,41.9, ,98, ,61, ,82, ,36.9, ,3.2, ,75.9, ,48.0, 
