Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
117,Victorville,San Bernardino,12/1/2012,336,0.08, ,0.00, ,228, ,11.1,Y,62.7, ,52.0,Y,56.3, ,85, ,56, ,72,Y,47.3,Y,10.3, ,246.8, ,53.9,Y
117,Victorville,San Bernardino,12/2/2012,337,0.08, ,0.00, ,261, ,11.6,Y,61.0, ,52.4,Y,55.2, ,85, ,65, ,78,Y,48.4,Y,12.6,Y,301.2,Y,54.4,R
117,Victorville,San Bernardino,12/3/2012,338,0.09, ,0.00, ,275, ,10.8,Y,65.8, ,41.7, ,55.4, ,89, ,51, ,72,Y,46.6,Y,8.1, ,194.3, ,54.6,R
117,Victorville,San Bernardino,12/4/2012,339,0.05, ,0.00, ,203, ,7.5, ,63.0, ,36.9, ,48.6, ,86, ,43, ,64, ,37.2, ,2.0, ,48.8, ,53.4,Y
117,Victorville,San Bernardino,12/5/2012,340,0.10, ,0.00, ,279, ,6.8, ,75.5,Y,35.2, ,54.7, ,82, ,19, ,46, ,34.6, ,3.9, ,93.3, ,52.7,Y
117,Victorville,San Bernardino,12/6/2012,341,0.07, ,0.00, ,273, ,8.8, ,66.7, ,44.1, ,54.2, ,83, ,37, ,61, ,41.1, ,2.9, ,68.6, ,53.4,Y
117,Victorville,San Bernardino,12/7/2012,342,0.07, ,0.00, ,131, ,5.1, ,65.8, ,40.1, ,53.0, ,91, ,22, ,37, ,27.8, ,3.0, ,72.1, ,53.2,Y
117,Victorville,San Bernardino,12/8/2012,343,0.07, ,0.00, ,284, ,4.2, ,66.7, ,29.4, ,47.2, ,68, ,15, ,38, ,23.2, ,2.2, ,53.7, ,51.5,Y
117,Victorville,San Bernardino,12/9/2012,344,0.08, ,0.00, ,273, ,3.9, ,66.4, ,31.2, ,48.4, ,63, ,16, ,33, ,21.0, ,2.4, ,58.3, ,51.2,Y
117,Victorville,San Bernardino,12/10/2012,345,0.07, ,0.00, ,280, ,3.9, ,63.8, ,32.7, ,46.5, ,63, ,19, ,36, ,20.9, ,2.3, ,56.2, ,50.7, 
117,Victorville,San Bernardino,12/11/2012,346,0.10, ,0.00, ,274, ,4.2, ,68.4, ,30.8, ,49.9, ,61, ,16, ,34, ,23.0, ,5.6, ,134.9, ,49.9, 
117,Victorville,San Bernardino,12/12/2012,347,0.14, ,0.00, ,292, ,6.1, ,57.0, ,46.6,Y,52.0, ,79, ,27, ,46, ,31.8, ,13.7,R,329.1,R,49.9, 
117,Victorville,San Bernardino,12/13/2012,348,0.02, ,0.69, ,99, ,8.4, ,49.9, ,40.1, ,45.1, ,96, ,69, ,82, ,40.0, ,5.9, ,142.7, ,49.8, 
117,Victorville,San Bernardino,12/14/2012,349,0.07, ,0.00, ,233, ,6.0, ,46.2, ,35.5, ,41.1, ,84, ,53, ,68, ,31.4, ,9.3, ,223.8, ,48.6, 
117,Victorville,San Bernardino,12/15/2012,350,0.06, ,0.00, ,281, ,5.3, ,48.0, ,35.2, ,41.9, ,82, ,43, ,59, ,28.6, ,6.0, ,145.2, ,47.7, 
117,Victorville,San Bernardino,12/16/2012,351,0.06, ,0.00, ,248, ,7.5, ,53.5, ,37.8, ,45.8, ,85, ,60, ,72, ,37.2, ,10.2, ,243.8, ,48.1, 
117,Victorville,San Bernardino,12/17/2012,352,0.08, ,0.00, ,279, ,9.0, ,59.5, ,45.2, ,50.6, ,82, ,54, ,72, ,41.8, ,12.1,Y,290.2,Y,49.0, 
117,Victorville,San Bernardino,12/18/2012,353,0.05, ,0.13, ,88, ,6.8, ,51.2, ,34.1, ,43.2, ,86, ,42, ,71, ,34.6, ,13.4,R,322.5,R,48.7, 
117,Victorville,San Bernardino,12/19/2012,354,0.06, ,0.00, ,297, ,2.8, ,44.4, ,27.1, ,35.1, ,65, ,17, ,41, ,13.5, ,4.8, ,115.4, ,45.8, 
117,Victorville,San Bernardino,12/20/2012,355,0.05, ,0.00, ,294, ,3.2, ,46.0, ,21.8, ,32.6, ,84, ,25, ,51, ,16.5, ,2.4, ,57.9, ,44.9, 
117,Victorville,San Bernardino,12/21/2012,356,0.05, ,0.00, ,287, ,3.6, ,49.1, ,19.7, ,32.9, ,88, ,28, ,57, ,19.2, ,2.0, ,47.1, ,45.1, 
