Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
211,Gilroy,San Francisco Bay,12/1/2012,336,0.03, ,0.01, ,98, ,15.3,Y,65.8, ,53.3,Y,58.7, ,100, ,71, ,91,Y,56.0,Y,3.8, ,91.2, ,58.2,Y
211,Gilroy,San Francisco Bay,12/2/2012,337,0.01, ,0.01, ,52, ,14.9,Y,62.0, ,48.3, ,56.6, ,100, ,81, ,95,Y,55.2,Y,6.4, ,154.6, ,58.9,Y
211,Gilroy,San Francisco Bay,12/3/2012,338,0.03, ,0.01, ,160, ,11.9, ,59.2, ,42.7, ,50.7, ,100, ,79, ,94, ,49.1, ,3.3, ,79.1, ,57.7, 
211,Gilroy,San Francisco Bay,12/4/2012,339,0.04, ,0.73, ,157, ,13.0,Y,62.0, ,47.4, ,54.2, ,100, ,75, ,91,Y,51.5,Y,3.5, ,82.9, ,57.3, 
211,Gilroy,San Francisco Bay,12/5/2012,340,0.02, ,0.39, ,95, ,16.5,R,64.8, ,54.5,Y,58.6, ,100, ,88, ,,R,,I,4.0, ,97.0, ,58.0,Y
211,Gilroy,San Francisco Bay,12/6/2012,341,0.04, ,0.00, ,143, ,13.6,Y,59.9, ,49.5,Y,56.5, ,99, ,76, ,87,Y,52.7,Y,7.5,Y,180.9,Y,58.6,Y
211,Gilroy,San Francisco Bay,12/7/2012,342,0.07, ,0.00, ,254, ,10.5, ,65.9, ,42.2, ,51.7, ,100, ,48, ,80, ,45.8, ,4.3, ,103.3, ,57.2, 
211,Gilroy,San Francisco Bay,12/8/2012,343,0.06, ,0.00, ,220, ,9.6, ,59.6, ,38.0, ,48.1, ,100, ,65, ,84, ,43.5, ,5.1, ,122.1, ,55.6, 
211,Gilroy,San Francisco Bay,12/9/2012,344,0.07, ,0.00, ,234, ,8.5, ,66.7, ,35.6, ,49.0, ,100, ,38, ,72, ,40.4, ,3.5, ,83.8, ,54.6, 
211,Gilroy,San Francisco Bay,12/10/2012,345,0.07, ,0.00, ,248, ,9.3, ,68.2, ,37.5, ,50.0, ,100, ,44, ,76, ,42.6, ,3.5, ,84.7, ,53.9, 
211,Gilroy,San Francisco Bay,12/11/2012,346,0.06, ,0.00, ,246, ,9.5, ,67.6, ,33.8, ,49.3, ,100, ,45, ,79, ,43.1, ,3.3, ,80.0, ,53.5, 
211,Gilroy,San Francisco Bay,12/12/2012,347,0.05, ,0.06, ,173, ,9.9, ,58.0, ,38.4, ,49.6, ,100, ,62, ,82, ,44.3, ,4.9, ,117.7, ,54.2, 
211,Gilroy,San Francisco Bay,12/13/2012,348,0.05, ,0.00, ,229, ,7.7, ,55.8, ,30.7, ,42.0, ,100, ,57, ,85, ,37.7, ,3.7, ,88.5, ,52.7, 
211,Gilroy,San Francisco Bay,12/14/2012,349,0.03, ,0.00, ,121, ,7.2, ,53.0, ,30.0, ,40.5, ,100, ,58, ,84, ,36.1, ,2.7, ,63.9, ,51.5, 
211,Gilroy,San Francisco Bay,12/15/2012,350,0.01, ,0.13, ,71, ,8.0, ,46.2, ,30.0, ,40.0, ,100, ,81, ,96, ,38.9, ,3.0, ,71.4, ,50.8, 
211,Gilroy,San Francisco Bay,12/16/2012,351,0.04, ,0.01, ,176, ,10.7, ,57.2, ,43.9, ,50.8, ,98, ,67, ,85, ,46.4, ,3.1, ,74.3, ,51.7, 
211,Gilroy,San Francisco Bay,12/17/2012,352,0.01, ,0.36, ,73, ,13.2,Y,58.9, ,46.0, ,52.5, ,100, ,84, ,98,Y,51.9,Y,4.2, ,100.2, ,53.3, 
211,Gilroy,San Francisco Bay,12/18/2012,353,0.07, ,0.00, ,251, ,7.3, ,52.5, ,36.0, ,43.7, ,100, ,46, ,75, ,36.4, ,7.5,Y,180.2,Y,52.4, 
211,Gilroy,San Francisco Bay,12/19/2012,354,0.05, ,0.00, ,249, ,5.8, ,57.2, ,28.9, ,40.3, ,100, ,35, ,68, ,30.5, ,3.1, ,75.0, ,50.6, 
211,Gilroy,San Francisco Bay,12/20/2012,355,0.06, ,0.00, ,251, ,5.8, ,61.1, ,27.2, ,39.9, ,100, ,25, ,69, ,30.6, ,2.2, ,53.7, ,49.4, 
211,Gilroy,San Francisco Bay,12/21/2012,356,0.04, ,0.02, ,129, ,8.2, ,59.3, ,28.4, ,44.1, ,100, ,61, ,83, ,39.4, ,5.1, ,122.6, ,48.8, 
211,Gilroy,San Francisco Bay,12/22/2012,357,0.02, ,0.75, ,79, ,11.3, ,55.4, ,43.2, ,50.0, ,100, ,80, ,92, ,47.8, ,4.0, ,96.7, ,50.4, 
211,Gilroy,San Francisco Bay,12/23/2012,358,0.00, ,2.04, ,35, ,12.3, ,55.9, ,44.0, ,50.4, ,100, ,90, ,99, ,50.1, ,5.4, ,130.6, ,50.8, 
211,Gilroy,San Francisco Bay,12/24/2012,359,0.05, ,0.00, ,220, ,10.0, ,59.3, ,40.8, ,49.0, ,100, ,60, ,85, ,44.6, ,3.0, ,73.0, ,51.4, 
211,Gilroy,San Francisco Bay,12/25/2012,360,0.01, ,0.49, ,61, ,9.2, ,51.7, ,36.9, ,44.1, ,100, ,74, ,94, ,42.4, ,3.4, ,82.6, ,50.0, 
211,Gilroy,San Francisco Bay,12/26/2012,361,0.03, ,0.15, ,147, ,10.0, ,54.8, ,42.0, ,47.0, ,100, ,75, ,91, ,44.6, ,3.4, ,80.9, ,50.0, 
211,Gilroy,San Francisco Bay,12/27/2012,362,0.06, ,0.00, ,239, ,8.6, ,56.2, ,36.0, ,46.4, ,100, ,60, ,80, ,40.7, ,4.5, ,107.2, ,49.8, 
211,Gilroy,San Francisco Bay,12/28/2012,363,0.01, ,0.00, ,91, ,7.9, ,50.3, ,31.3, ,40.1, ,100, ,73, ,94, ,38.6, ,2.2, ,52.5, ,48.4, 
211,Gilroy,San Francisco Bay,12/29/2012,364,0.02, ,0.10, ,76, ,9.0, ,50.6, ,35.7, ,44.4, ,100, ,69, ,90, ,41.7, ,4.2, ,101.1, ,48.6, 
211,Gilroy,San Francisco Bay,12/30/2012,365,0.05, ,0.00, ,227, ,7.4, ,55.9, ,31.5, ,40.8, ,100, ,53, ,85, ,36.8, ,4.0, ,96.4, ,47.9, 
211,Gilroy,San Francisco Bay,12/31/2012,366,0.05, ,0.00, ,247, ,6.5, ,56.1, ,29.4, ,40.7, ,100, ,37, ,75, ,33.4, ,2.7, ,64.2, ,47.3, 
211,Gilroy,San Francisco Bay,1/1/2013,001,0.06, ,0.00, ,243, ,6.8, ,56.3, ,31.8, ,41.5, ,100, ,45, ,76, ,34.5, ,3.6, ,87.1, ,46.9, 
211,Gilroy,San Francisco Bay,1/2/2013,002,0.06, ,0.00, ,256, ,6.4, ,64.1, ,27.5, ,41.8, ,100, ,32, ,72, ,33.3, ,2.7, ,64.8, ,46.3, 
211,Gilroy,San Francisco Bay,1/3/2013,003,0.06, ,0.00, ,240, ,6.6, ,61.0, ,27.9, ,41.9, ,100, ,36, ,73, ,33.9, ,3.4, ,81.2, ,45.9, 
211,Gilroy,San Francisco Bay,1/4/2013,004,0.06, ,0.00, ,244, ,7.5, ,63.6, ,29.7, ,44.2, ,100, ,42, ,77, ,37.3, ,2.6, ,61.3, ,46.0, 
211,Gilroy,San Francisco Bay,1/5/2013,005,0.03, ,0.19, ,148, ,9.2, ,57.6, ,33.2, ,45.6, ,100, ,60, ,89, ,42.4, ,2.9, ,68.6, ,46.5, 
