Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
104,De Laveaga,Monterey Bay,12/1/2012,336,0.02, ,0.85, ,81, ,13.9, ,58.5, ,53.1,Y,55.1, ,95, ,91, ,94, ,53.4, ,3.1, ,73.2, ,58.4,Y
104,De Laveaga,Monterey Bay,12/2/2012,337,0.01, ,1.10, ,77, ,13.2, ,60.3, ,46.8, ,54.2, ,96, ,78, ,92, ,51.9, ,4.6,Y,110.8,Y,59.0,Y
104,De Laveaga,Monterey Bay,12/3/2012,338,0.06, ,0.00, ,235, ,10.7, ,59.8, ,41.5, ,50.6, ,95, ,67, ,85, ,46.4, ,3.0, ,71.4, ,57.4,Y
104,De Laveaga,Monterey Bay,12/4/2012,339,0.03, ,0.00, ,138, ,11.9, ,58.9, ,46.4, ,52.1, ,95, ,76, ,89, ,49.0, ,2.3, ,55.2, ,57.1, 
104,De Laveaga,Monterey Bay,12/5/2012,340,0.01, ,0.73,R,71, ,14.1, ,58.6, ,52.3,Y,55.1, ,96, ,90, ,95, ,53.6, ,1.6, ,38.9, ,58.1,Y
104,De Laveaga,Monterey Bay,12/6/2012,341,0.04, ,0.00, ,174, ,11.8, ,60.2, ,43.3, ,52.7, ,96, ,72, ,87, ,49.0, ,2.7, ,65.7, ,58.3,Y
104,De Laveaga,Monterey Bay,12/7/2012,342,0.06, ,0.00, ,251, ,10.0, ,65.0, ,40.2, ,48.7, ,96, ,57, ,85, ,44.4, ,2.8, ,68.1, ,56.3, 
104,De Laveaga,Monterey Bay,12/8/2012,343,0.06, ,0.00, ,224, ,8.3, ,63.2, ,37.4, ,48.8, ,93, ,40, ,71, ,39.7, ,2.7, ,64.1, ,54.6, 
104,De Laveaga,Monterey Bay,12/9/2012,344,0.07, ,0.00, ,231, ,8.0, ,67.1, ,45.3, ,55.1, ,79, ,40, ,54, ,38.8, ,2.4, ,57.7, ,54.1, 
104,De Laveaga,Monterey Bay,12/10/2012,345,0.06, ,0.00, ,243, ,9.1, ,68.0, ,43.1, ,53.1, ,85, ,45, ,66, ,42.1, ,2.9, ,68.8, ,54.1, 
104,De Laveaga,Monterey Bay,12/11/2012,346,0.06, ,0.00, ,238, ,9.6, ,63.7, ,39.5, ,50.2, ,90, ,50, ,78, ,43.5, ,2.9, ,70.5, ,53.7, 
104,De Laveaga,Monterey Bay,12/12/2012,347,0.05, ,0.14, ,214, ,9.2, ,56.7, ,37.7, ,47.7, ,95, ,55, ,82, ,42.4, ,2.2, ,52.8, ,54.6, 
104,De Laveaga,Monterey Bay,12/13/2012,348,0.05, ,0.00, ,222, ,7.2, ,55.9, ,33.0, ,42.4, ,94, ,48, ,78, ,36.0, ,3.1, ,74.9, ,52.5, 
104,De Laveaga,Monterey Bay,12/14/2012,349,0.03, ,0.00, ,127, ,7.3, ,54.1, ,33.5, ,42.2, ,92, ,54, ,80, ,36.4, ,2.9, ,69.3, ,51.0, 
104,De Laveaga,Monterey Bay,12/15/2012,350,0.00, ,0.17, ,46, ,7.9, ,45.8,Y,32.7, ,40.5, ,95, ,81, ,92, ,38.3, ,2.8, ,67.2, ,49.8, 
104,De Laveaga,Monterey Bay,12/16/2012,351,0.02, ,0.08, ,93, ,10.3, ,54.1, ,42.6, ,48.1, ,96, ,73, ,90, ,45.4, ,2.1, ,49.7, ,50.7, 
104,De Laveaga,Monterey Bay,12/17/2012,352,0.01, ,0.74,R,74, ,11.5, ,53.9, ,40.2, ,49.8, ,96, ,91, ,95, ,48.3, ,3.0, ,72.7, ,53.1, 
104,De Laveaga,Monterey Bay,12/18/2012,353,0.05, ,0.01, ,240, ,6.8, ,53.1, ,34.6, ,42.5, ,95, ,48, ,73, ,34.6, ,2.8, ,67.4, ,51.4, 
104,De Laveaga,Monterey Bay,12/19/2012,354,0.05, ,0.00, ,192, ,5.7, ,54.6, ,31.7, ,41.3, ,88, ,36, ,64, ,30.3, ,3.5, ,84.0, ,48.8, 
104,De Laveaga,Monterey Bay,12/20/2012,355,0.05, ,0.00, ,235, ,6.2, ,56.8, ,30.0, ,41.9, ,87, ,40, ,68, ,32.3, ,3.4, ,81.8, ,47.5, 
