Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
152,Camarillo,Central Coast Valleys,12/1/2012,336,0.05,R,0.04, ,120, ,7.8, ,54.6, ,30.4, ,38.5,H,99,H,79,H,99, ,38.1, ,1.5, ,35.2, ,62.5, 
152,Camarillo,Central Coast Valleys,12/2/2012,337,0.07,R,0.02, ,96, ,7.3, ,50.2,Y,28.9, ,36.5,H,99,H,86,H,100, ,36.5, ,1.8, ,43.0, ,63.0, 
152,Camarillo,Central Coast Valleys,12/3/2012,338,0.05,R,0.02, ,198, ,7.6, ,53.9, ,31.6, ,38.8,H,100,H,79,H,95, ,37.5, ,1.8, ,42.0, ,63.8,Y
152,Camarillo,Central Coast Valleys,12/4/2012,339,0.04,R,0.00,R,83, ,18.8,R,65.3, ,32.0, ,58.3,H,100,H,73,H,,R,,I,1.8, ,44.3, ,62.0, 
152,Camarillo,Central Coast Valleys,12/5/2012,340,0.06, ,0.00, ,240, ,17.6,Y,68.1, ,45.4, ,56.5, ,100, ,69, ,100,Y,56.5,Y,1.8, ,44.1, ,61.0, 
152,Camarillo,Central Coast Valleys,12/6/2012,341,0.04,R,0.00, ,206, ,18.0,Y,66.3, ,48.6, ,56.3, ,100, ,75, ,100,Y,56.3,Y,1.8, ,42.6, ,60.9, 
152,Camarillo,Central Coast Valleys,12/7/2012,342,0.06, ,0.00, ,247, ,13.8, ,66.7, ,43.0, ,54.2, ,100, ,68, ,96, ,53.2, ,2.1, ,49.4, ,59.6, 
152,Camarillo,Central Coast Valleys,12/8/2012,343,0.05, ,0.00, ,243, ,12.2, ,64.0, ,38.8, ,51.3, ,100, ,63, ,94, ,49.7, ,2.0, ,48.2, ,58.2, 
152,Camarillo,Central Coast Valleys,12/9/2012,344,0.05,R,0.00, ,219, ,14.7, ,64.7, ,41.7, ,51.5, ,100, ,63, ,100, ,54.8, ,1.8, ,42.2, ,58.0, 
152,Camarillo,Central Coast Valleys,12/10/2012,345,0.07, ,0.00, ,249, ,10.3, ,75.5, ,40.1, ,54.9, ,100, ,27, ,70, ,45.4, ,1.8, ,42.7, ,57.5, 
