,index,Date,Max Air Temp (F),Avg Air Temp (F),Min Air Temp (F),Max Dew Point (F),Avg Dew Point (F),Min Dew Point (F),Max Rel Hum (%),Avg Rel Hum (%),Min Rel Hum (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Precip (in)
0,1.0,1,58,55.4,52,56,53.5,50,100,92.7,86,41,21.4,12,29.8,29.6,29.3,0.00
1,2.0,2,55,52.4,50,54,48.8,43,100,88.4,72,18,11.1,0,30.0,29.6,29.4,0.00
2,3.0,3,56,53.9,52,49,45.4,44,83,73.2,64,33,15.4,8,30.1,30.0,29.9,0.00
3,4.0,4,61,57.2,54,56,54.2,45,100,90.1,69,32,19.4,9,30.0,29.9,29.9,0.00
4,5.0,5,54,51.7,48,54,46.7,40,100,84.0,62,14,8.3,0,30.2,30.1,30.0,0.00
5,6.0,6,53,46.4,40,44,40.5,38,96,80.7,61,16,5.8,0,30.2,30.2,30.2,0.00
6,7.0,7,51,44.1,37,44,38.7,35,93,81.7,68,14,6.4,0,30.2,30.2,30.2,0.00
7,8.0,8,53,45.4,39,43,37.7,34,89,74.9,64,16,7.3,3,30.2,30.2,30.1,0.00
8,9.0,9,55,48.4,39,49,41.3,34,90,76.7,61,15,6.7,0,30.3,30.3,30.2,0.00
9,10.0,10,57,50.3,44,51,45.8,40,97,85.3,64,13,5.5,0,30.3,30.2,30.1,0.00
10,11.0,11,52,47.4,42,48,44.5,40,100,89.7,74,22,10.6,0,30.1,29.9,29.7,0.00
11,12.0,12,50,44.3,38,43,39.7,36,97,84.3,66,8,3.5,0,29.9,29.9,29.8,0.00
12,13.0,13,49,42.0,37,40,35.8,34,93,79.1,61,9,5.6,0,29.9,29.9,29.8,0.00
13,14.0,14,48,42.9,38,42,38.4,35,93,84.2,74,8,4.3,0,30.0,29.9,29.8,0.00
14,15.0,15,49,45.5,37,47,41.7,34,100,86.8,71,29,12.1,0,29.9,29.9,29.8,0.00
15,16.0,16,55,50.0,46,54,47.9,44,100,92.4,80,41,21.9,0,29.9,29.8,29.6,0.00
16,17.0,17,52,46.1,38,47,39.4,34,93,78.5,59,20,10.4,0,30.1,29.9,29.7,0.00
17,18.0,18,43,37.8,35,39,35.2,33,97,90.1,74,9,4.4,0,30.1,30.1,30.1,0.00
18,19.0,19,52,47.8,40,39,30.0,0,83,62.3,57,31,23.8,8,30.1,30.0,29.7,0.00
19,20.0,20,52,46.5,44,45,42.1,37,93,84.9,57,38,20.6,10,29.8,29.7,29.6,0.00
20,21.0,21,50,47.6,46,45,42.6,41,87,82.3,71,30,18.9,8,29.7,29.7,29.5,0.00
21,22.0,22,49,46.4,44,45,40.5,39,93,80.1,71,31,19.9,12,29.8,29.7,29.5,0.00
22,23.0,23,50,45.7,41,47,42.2,37,100,88.0,69,25,10.8,0,30.0,29.7,29.4,0.00
23,24.0,24,49,43.5,37,40,37.8,35,93,81.4,63,15,6.2,0,30.2,30.1,30.0,0.00
24,25.0,25,52,47.8,45,45,42.1,34,93,81.1,56,29,16.9,3,29.9,29.7,29.6,0.00
25,26.0,26,48,44.6,42,45,42.5,40,100,92.0,85,14,4.9,0,30.1,29.9,29.7,0.00
26,27.0,27,49,43.3,40,43,39.9,37,96,88.3,74,7,2.6,0,30.2,30.1,30.1,0.00
27,28.0,28,47,43.3,40,43,39.5,37,93,86.6,81,8,4.8,0,30.1,30.0,30.0,0.00
28,29.0,29,50,44.0,39,43,38.5,34,89,80.9,71,14,5.8,0,30.1,30.1,30.1,0.00
29,30.0,30,50,42.1,37,38,21.9,0,80,73.1,59,8,5.7,0,30.2,30.1,30.1,0.00
30,31.0,31,50,42.0,37,39,31.6,0,86,71.3,50,8,4.3,0,30.3,30.2,30.2,0.00
31,1.0,1,52,43.8,37,40,32.8,0,89,72.3,50,10,4.6,0,30.3,30.2,30.2,0.00
32,2.0,2,55,44.9,37,41,28.4,0,86,66.3,43,8,6.1,3,30.2,30.1,30.0,0.00
33,3.0,3,55,49.4,38,46,39.1,30,80,68.4,54,21,10.3,3,30.3,30.1,30.0,0.00
34,4.0,4,53,45.9,40,45,39.6,37,89,79.2,57,7,4.0,0,30.3,30.2,30.1,0.00
35,5.0,5,52,46.3,41,44,41.1,38,96,82.7,66,12,4.9,0,30.1,30.1,30.1,0.00
36,6.0,6,50,43.5,37,43,40.1,35,97,88.2,74,7,1.7,0,30.2,30.2,30.1,0.00
37,7.0,7,50,48.5,46,49,46.8,41,100,94.4,74,12,5.7,0,30.3,30.2,30.2,0.00
38,8.0,8,52,48.7,46,48,45.8,44,100,89.8,80,14,4.8,0,30.3,30.2,30.1,0.00
39,9.0,9,50,45.6,37,48,43.1,36,100,90.4,76,21,12.5,0,30.1,30.0,29.9,0.00
40,10.0,10,45,39.7,36,40,36.6,35,100,88.8,76,10,3.3,0,30.2,30.1,30.0,0.00
41,11.0,11,48,31.7,0,43,29.1,0,100,68.0,0,10,4.1,0,30.2,30.2,30.2,0.00
42,12.0,12,47,20.0,0,33,13.7,0,72,30.8,0,9,5.4,0,30.2,30.2,30.2,0.00
43,13.0,13,48,38.5,31,34,24.0,0,72,59.8,45,18,8.1,3,30.3,30.3,30.2,0.00
44,14.0,14,50,40.5,33,34,26.1,22,73,57.2,35,10,5.7,0,30.4,30.4,30.3,0.00
45,15.0,15,49,41.5,34,37,29.4,0,89,67.3,48,7,3.6,0,30.4,30.4,30.4,0.00
46,16.0,16,53,44.6,34,45,40.1,0,100,88.3,55,9,3.3,0,30.4,30.3,30.2,0.00
47,17.0,17,46,39.3,32,45,36.3,0,100,97.0,83,8,1.8,0,30.2,30.2,30.1,0.00
48,18.0,18,46,38.1,34,41,36.9,34,100,95.6,81,7,1.6,0,30.2,30.2,30.1,0.00
49,19.0,19,50,37.7,30,42,35.7,0,100,96.6,74,8,1.9,0,30.2,30.2,30.1,0.00
50,20.0,20,54,40.6,30,43,34.6,0,100,85.8,43,8,3.0,0,30.2,30.2,30.1,0.00
51,21.0,21,62,47.6,36,43,33.5,27,76,59.8,30,8,4.0,0,30.1,30.1,30.0,0.00
52,22.0,22,60,48.7,41,38,29.5,0,74,57.2,35,13,5.7,0,30.0,29.9,29.9,0.00
53,23.0,23,54,48.0,46,50,46.0,36,100,93.1,57,16,4.2,0,30.1,29.9,29.8,0.00
54,24.0,24,52,47.5,44,52,46.6,43,100,96.8,88,8,2.5,0,30.2,30.1,30.1,0.00
55,25.0,25,49,47.9,44,49,47.8,44,100,99.6,93,16,8.5,0,30.1,30.1,30.0,0.00
56,26.0,26,49,44.5,38,46,43.2,38,100,95.4,74,10,3.7,0,30.1,30.0,30.0,0.00
57,27.0,27,48,42.6,37,43,39.5,36,100,89.5,74,9,3.6,0,30.2,30.2,30.1,0.00
58,28.0,28,47,44.6,40,45,43.1,39,100,93.9,87,12,4.0,0,30.4,30.3,30.2,0.00
59,29.0,29,49,45.7,39,45,43.7,38,100,92.3,86,16,6.5,0,30.5,30.4,30.4,0.00
60,30.0,30,52,41.1,34,47,39.2,33,100,93.5,68,20,4.5,0,30.5,30.4,30.3,0.00
61,31.0,31,52,45.1,38,43,39.0,35,93,79.9,63,8,4.5,0,30.3,30.3,30.2,0.00
62,1.0,1,57,48.2,43,44,37.3,33,82,66.4,45,7,5.2,0,30.2,30.1,30.1,0.00
63,2.0,2,52,47.7,42,46,42.2,36,93,81.1,71,10,4.9,0,30.3,30.2,30.1,0.00
64,3.0,3,52,46.6,41,45,41.7,37,93,83.3,71,10,4.2,0,30.3,30.2,30.2,0.00
65,4.0,4,49,46.0,40,45,42.7,39,97,88.0,80,12,5.0,0,30.2,30.1,30.0,0.00
66,5.0,5,52,48.0,46,49,45.7,41,100,91.4,80,15,10.7,6,30.1,30.1,30.0,0.00
67,6.0,6,52,48.3,43,46,43.9,39,93,84.5,71,23,10.8,0,30.1,30.1,30.0,0.00
68,7.0,7,46,41.7,38,42,38.4,35,93,88.6,76,13,6.7,0,30.0,30.0,30.0,0.00
69,8.0,8,52,42.4,34,41,31.2,0,93,78.8,64,25,9.7,3,30.2,30.1,30.0,0.00
70,9.0,9,52,47.0,41,43,36.2,0,80,69.8,59,24,13.5,7,30.2,30.1,30.1,0.00
71,10.0,10,53,48.2,43,43,41.0,36,86,76.3,66,18,12.3,6,30.1,30.1,30.1,0.00
72,11.0,11,52,45.3,36,44,40.4,35,100,83.6,68,14,8.1,0,30.3,30.2,30.1,0.00
73,12.0,12,54,48.8,46,47,44.2,41,93,84.3,71,22,13.8,8,30.4,30.4,30.3,0.00
74,13.0,13,53,46.9,41,46,44.2,40,100,89.9,77,21,9.7,0,30.4,30.4,30.3,0.00
75,14.0,14,57,51.1,47,46,43.4,39,93,75.9,51,17,10.0,5,30.4,30.3,30.2,0.00
76,15.0,15,65,54.6,43,41,39.2,37,89,57.7,37,10,5.3,0,30.2,30.2,30.1,0.00
77,16.0,16,52,46.0,42,46,43.1,39,100,90.3,77,20,6.0,0,30.3,30.2,30.2,0.00
78,17.0,17,50,45.7,39,41,38.5,34,93,76.3,63,18,12.0,0,30.2,30.1,30.0,0.00
79,18.0,18,48,45.0,43,41,39.4,38,93,81.2,71,17,9.6,0,30.0,29.9,29.8,0.00
80,19.0,19,46,41.8,35,41,37.0,33,93,83.5,71,23,9.6,0,29.9,29.8,29.7,0.00
81,20.0,20,50,41.8,33,43,33.3,0,93,85.1,63,12,4.4,0,30.1,30.1,30.0,0.00
82,21.0,21,50,41.8,35,41,37.5,33,100,85.7,68,13,3.5,0,30.3,30.2,30.1,0.00
83,22.0,22,52,44.6,37,45,40.8,35,100,87.2,62,23,9.0,0,30.3,30.2,30.1,0.00
84,23.0,23,48,44.3,39,40,37.7,35,93,78.1,66,17,9.0,0,30.4,30.3,30.2,0.00
85,24.0,24,50,41.7,34,40,31.2,0,89,77.8,52,10,3.7,0,30.4,30.3,30.2,0.00
86,25.0,25,50,43.9,36,44,39.5,33,100,85.3,71,15,6.9,0,30.4,30.3,30.2,0.00
87,26.0,26,53,41.2,33,38,29.9,0,97,79.1,43,14,4.8,0,30.3,30.3,30.2,0.00
88,27.0,27,50,45.0,36,49,40.5,33,100,84.8,66,20,8.7,0,30.3,30.3,30.3,0.00
89,28.0,28,52,50.3,48,52,49.9,48,100,98.8,94,17,9.7,0,30.5,30.4,30.3,0.00
90,1.0,1,54,47.6,0,50,46.4,0,100,94.1,0,12,4.4,0,30.5,30.4,30.3,0.00
91,2.0,2,50,48.4,46,49,47.0,45,100,95.1,93,12,4.0,0,30.3,30.2,30.1,0.00
92,3.0,3,53,47.9,45,47,44.9,40,100,89.4,69,14,5.8,0,30.1,30.1,30.0,0.00
93,4.0,4,50,46.0,39,44,40.3,37,93,80.8,66,20,11.5,0,30.1,30.0,29.9,0.00
94,5.0,5,51,46.1,43,45,42.6,37,97,87.9,59,25,9.8,0,29.9,29.7,29.6,0.00
95,6.0,6,49,45.5,42,45,41.5,39,93,85.8,76,22,14.4,5,29.9,29.8,29.5,0.00
96,7.0,7,52,44.9,39,42,39.8,36,93,83.0,63,14,6.0,0,29.9,29.9,29.9,0.00
97,8.0,8,52,44.6,36,44,38.0,0,93,82.0,69,24,9.4,0,30.1,30.0,29.9,0.00
98,9.0,9,54,46.5,37,46,41.2,35,93,82.5,66,13,6.4,0,30.4,30.3,30.1,0.00
99,10.0,10,55,44.0,37,46,40.7,36,100,89.0,62,15,4.1,0,30.4,30.4,30.3,0.00
100,11.0,11,52,47.2,43,47,45.1,39,100,92.7,80,12,4.8,0,30.3,30.3,30.2,0.00
101,12.0,12,52,47.3,46,48,45.6,44,100,92.9,82,12,4.9,0,30.2,30.2,30.2,0.00
102,13.0,13,50,46.6,44,48,45.4,43,100,95.0,87,7,3.7,0,30.2,30.1,30.1,0.00
103,14.0,14,57,46.1,0,47,44.0,0,100,90.7,0,10,2.0,0,30.2,30.1,30.1,0.00
104,15.0,15,54,47.5,42,50,45.5,39,100,93.0,77,10,4.1,0,30.2,30.2,30.2,0.00
105,16.0,16,54,48.7,45,48,46.0,44,100,90.9,77,10,4.9,0,30.2,30.2,30.1,0.00
106,17.0,17,52,46.7,41,43,40.1,37,93,78.0,63,21,11.1,0,30.3,30.2,30.2,0.00
107,18.0,18,51,44.9,36,43,38.8,34,97,80.2,61,13,4.1,0,30.2,30.1,30.1,0.00
108,19.0,19,54,49.3,44,50,44.6,40,93,84.2,66,21,10.9,0,30.1,29.9,29.8,0.00
109,20.0,20,54,50.2,44,50,47.2,38,100,90.3,71,26,16.6,3,30.2,29.9,29.8,0.00
110,21.0,21,51,44.1,35,40,35.4,0,97,75.9,61,24,11.7,0,30.3,30.3,30.2,0.00
111,22.0,22,51,45.0,37,38,30.0,0,74,66.0,59,25,14.2,6,30.3,30.3,30.2,0.00
112,23.0,23,52,45.3,37,41,30.5,0,86,69.9,58,17,9.6,3,30.2,30.2,30.1,0.00
113,24.0,24,52,45.9,39,43,40.0,36,93,80.4,68,10,5.4,0,30.1,30.1,30.0,0.00
114,25.0,25,52,46.9,42,45,42.8,39,93,85.5,71,12,5.9,0,30.0,30.0,29.9,0.00
115,26.0,26,54,48.4,43,46,43.5,40,93,83.4,69,8,2.5,0,30.0,29.9,29.9,0.00
116,27.0,27,57,51.3,48,52,48.2,46,96,89.8,81,13,5.7,0,29.9,29.9,29.9,0.00
117,28.0,28,56,52.7,51,54,50.5,48,100,92.6,75,8,3.8,0,30.1,30.0,29.9,0.00
118,29.0,29,64,55.5,50,52,49.5,46,96,81.4,60,13,4.2,0,30.1,30.1,30.0,0.00
119,30.0,30,62,54.4,50,52,49.2,46,96,83.0,67,17,7.5,0,30.0,30.0,29.9,0.00
120,31.0,31,56,52.6,51,54,51.1,50,100,95.2,90,15,4.2,0,30.0,30.0,29.9,0.00
121,1.0,1,56,52.0,50,52,50.1,48,100,93.9,84,9,4.2,0,30.2,30.1,30.0,0.00
122,2.0,2,53,49.0,46,50,47.4,45,100,94.5,86,13,5.8,0,30.2,30.1,30.1,0.00
123,3.0,3,52,47.8,46,50,46.6,45,100,95.8,87,9,3.0,0,30.1,30.1,29.9,0.00
124,4.0,4,55,53.3,50,54,51.6,48,100,94.6,88,32,17.7,5,30.0,29.9,29.7,0.00
125,5.0,5,55,52.9,51,52,51.1,50,100,94.1,88,24,16.0,12,30.1,30.0,30.0,0.00
126,6.0,6,55,52.8,52,54,51.3,48,100,95.0,82,23,14.7,9,30.1,30.0,29.9,0.00
127,7.0,7,54,49.1,42,52,46.3,39,100,90.2,82,26,11.2,0,30.0,29.9,29.9,0.00
128,8.0,8,54,46.9,38,45,41.3,35,93,81.5,69,25,12.1,3,30.2,30.1,30.0,0.00
129,9.0,9,57,50.7,44,49,44.6,40,90,80.0,69,14,7.6,0,30.3,30.2,30.2,0.00
130,10.0,10,55,50.5,44,52,47.8,42,100,90.8,77,13,5.5,0,30.3,30.3,30.2,0.00
131,11.0,11,54,49.7,46,46,44.3,43,93,82.1,69,28,15.1,5,30.2,30.1,30.0,0.00
132,12.0,12,54,48.5,44,47,44.6,42,100,86.4,77,12,5.6,0,30.0,30.0,30.0,0.00
133,13.0,13,53,47.9,44,46,41.9,38,100,79.9,63,21,13.0,0,30.1,30.1,30.0,0.00
134,14.0,14,50,44.7,37,41,38.4,34,89,78.9,64,14,6.5,0,30.1,30.0,29.9,0.00
135,15.0,15,50,45.3,37,41,38.4,33,89,76.9,66,24,11.8,0,30.1,30.0,29.9,0.00
136,16.0,16,54,47.8,39,44,38.1,0,83,73.3,61,26,14.1,5,30.3,30.2,30.1,0.00
137,17.0,17,54,48.0,40,45,41.6,36,89,78.9,69,25,13.2,0,30.4,30.4,30.3,0.00
138,18.0,18,54,49.0,44,46,43.8,41,93,83.0,69,21,11.2,0,30.4,30.3,30.3,0.00
139,19.0,19,56,45.5,0,52,43.8,0,100,87.5,0,12,5.1,0,30.4,30.3,30.3,0.00
140,20.0,20,54,47.6,44,48,45.9,44,100,94.2,77,24,9.4,0,30.3,30.2,30.1,0.00
141,21.0,21,54,47.2,41,46,44.3,39,100,90.3,72,24,9.1,0,30.2,30.1,30.1,0.00
142,22.0,22,65,50.5,42,47,44.5,40,100,82.2,43,23,11.2,0,30.1,30.1,30.0,0.00
143,23.0,23,66,56.0,47,43,35.1,0,80,53.1,26,23,14.2,6,30.0,30.0,29.9,0.00
144,24.0,24,64,53.6,45,45,41.6,28,100,67.0,29,20,11.3,0,30.0,29.9,29.8,0.00
145,25.0,25,52,48.2,44,46,45.2,43,100,89.8,80,18,8.1,0,30.1,30.0,29.9,0.00
146,26.0,26,50,48.3,46,47,45.4,45,96,89.9,83,8,3.5,0,30.3,30.2,30.1,0.00
147,27.0,27,52,46.8,44,47,45.3,44,100,94.4,80,15,5.7,0,30.3,30.2,30.2,0.00
148,28.0,28,56,49.4,46,49,46.1,43,100,88.7,75,18,8.5,0,30.2,30.1,30.1,0.00
149,29.0,29,56,49.3,46,49,45.5,40,100,87.4,66,26,15.3,8,30.1,30.1,30.0,0.00
150,30.0,30,53,48.4,45,41,39.5,37,80,71.5,57,30,20.9,14,30.2,30.1,30.0,0.00
151,1.0,1,56,51.4,45,43,40.0,35,79,65.3,52,21,12.8,5,30.2,30.1,30.1,0.00
152,2.0,2,72,53.8,45,45,37.5,0,83,62.4,23,14,7.2,0,30.1,30.1,30.1,0.00
153,3.0,3,58,47.8,40,47,43.2,39,100,84.9,65,20,8.0,0,30.1,30.0,29.9,0.00
154,4.0,4,88,68.3,46,47,38.7,0,79,41.4,12,16,9.9,5,29.9,29.7,29.5,0.00
155,5.0,5,69,53.3,46,52,46.8,35,100,81.3,29,23,8.8,0,29.8,29.7,29.5,0.00
156,6.0,6,59,53.3,46,53,49.6,45,100,87.9,75,8,3.9,0,29.9,29.9,29.8,0.00
157,7.0,7,57,52.0,48,53,50.3,48,100,94.1,80,7,3.0,0,30.1,30.0,29.9,0.00
158,8.0,8,57,52.9,51,51,49.0,48,93,86.5,77,9,4.1,0,30.1,30.1,30.0,0.00
159,9.0,9,55,51.5,50,50,48.5,48,94,89.3,82,10,5.9,3,30.2,30.1,30.1,0.00
160,10.0,10,53,51.2,50,50,48.5,46,96,90.9,86,8,4.5,0,30.2,30.2,30.2,0.00
161,11.0,11,59,52.0,45,54,49.8,45,100,92.6,75,9,4.0,0,30.2,30.1,30.1,0.00
162,12.0,12,63,55.8,50,58,53.5,48,100,92.6,77,8,2.4,0,30.2,30.1,30.1,0.00
163,13.0,13,59,54.5,52,54,53.3,50,100,95.3,81,12,4.3,0,30.2,30.1,30.1,0.00
164,14.0,14,58,50.8,46,52,48.1,45,100,91.1,72,20,6.8,0,30.1,30.1,30.1,0.00
165,15.0,15,58,52.8,47,51,47.5,46,100,83.0,65,9,6.0,0,30.1,30.1,30.0,0.00
166,16.0,16,57,53.4,48,55,51.8,48,100,94.5,80,10,4.9,0,30.0,30.0,30.0,0.00
167,17.0,17,59,37.0,0,54,34.6,0,100,61.6,0,9,2.0,0,30.1,30.0,30.0,0.00
168,18.0,18,56,52.4,47,53,48.3,45,100,86.2,72,10,4.2,0,30.3,30.2,30.1,0.00
169,19.0,19,58,52.7,47,51,47.7,45,100,83.5,70,26,15.6,0,30.3,30.2,30.1,0.00
170,20.0,20,57,51.0,47,51,47.8,45,100,89.2,80,14,5.3,0,30.1,30.1,30.0,0.00
