,Date,Max Air Temp (F),Avg Air Temp (F),Min Air Temp (F),Max Dew Point (F),Avg Dew Point (F),Min Dew Point (F),Max Rel Hum (%),Avg Rel Hum (%),Min Rel Hum (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Precip (in)
1,1,58,54.6,52,56,53.6,52,100,96.3,84,21,9.9,0,29.6,29.6,29.2,0.00
2,2,59,53.0,48,59,49.3,42,100,88.2,60,26,10.8,3,29.9,29.5,29.2,0.00
3,3,58,51.1,46,47,43.4,40,90,75.5,58,14,6.2,3,29.9,29.9,29.8,0.00
4,4,58,56.7,53,56,52.4,42,100,85.9,64,22,11.3,0,29.8,29.8,29.8,0.00
5,5,56,53.1,47,56,50.0,42,100,89.8,69,12,4.0,0,30.0,29.9,29.8,0.00
6,6,53,46.0,36,44,40.1,36,100,81.2,57,14,4.5,0,30.1,30.0,30.0,0.00
7,7,53,42.7,35,43,38.8,34,100,86.9,64,16,4.4,0,30.1,30.0,30.0,0.00
8,8,53,42.2,34,41,36.8,33,100,82.8,55,14,3.9,0,30.1,30.0,30.0,0.00
9,9,56,42.8,34,45,38.8,33,100,87.5,57,18,3.9,0,30.1,30.1,30.1,0.00
10,10,55,44.7,37,48,43.1,36,100,94.7,74,8,1.5,0,30.1,30.0,29.9,0.00
11,11,49,46.0,43,47,44.9,39,100,96.0,76,17,5.3,0,29.9,29.7,29.6,0.00
12,12,49,41.4,32,43,38.7,31,100,90.5,71,13,3.5,0,29.8,29.7,29.6,0.00
13,13,49,37.5,31,38,32.6,0,100,88.9,59,6,3.0,0,29.8,29.7,29.6,0.00
14,14,50,41.8,36,40,37.8,35,97,86.5,68,12,3.4,0,29.8,29.7,29.6,0.00
15,15,49,44.0,36,42,38.0,33,93,79.8,71,20,9.5,3,29.8,29.7,29.6,0.00
16,16,54,50.1,46,54,47.9,41,100,92.3,74,28,13.2,3,29.8,29.6,29.5,0.00
17,17,52,46.2,36,49,41.0,35,97,82.9,59,20,9.2,3,29.9,29.8,29.6,0.00
18,18,44,37.5,33,37,33.5,0,100,91.8,76,10,4.1,0,30.0,29.9,29.9,0.00
19,19,50,45.4,35,36,33.0,29,85,62.5,54,23,15.0,7,30.0,29.9,29.7,0.00
20,20,51,46.3,44,45,42.6,37,100,87.5,59,30,11.9,3,29.7,29.6,29.5,0.00
21,21,49,46.1,44,45,43.0,41,97,89.0,80,18,10.3,0,29.6,29.5,29.4,0.00
22,22,48,42.8,39,43,40.3,36,100,91.2,77,18,11.3,7,29.7,29.6,29.4,0.00
23,23,54,47.4,40,48,43.9,39,100,88.1,71,24,9.1,0,29.8,29.6,29.3,0.00
24,24,48,42.2,34,41,38.7,33,100,88.1,71,7,3.2,0,30.0,29.9,29.8,0.00
25,25,51,46.5,43,46,43.0,35,100,88.0,63,22,7.6,0,29.8,29.6,29.5,0.00
26,26,47,44.1,41,45,42.6,40,100,93.9,87,12,4.0,0,29.9,29.7,29.5,0.00
27,27,48,42.1,36,42,39.9,36,100,92.8,74,12,1.9,0,30.0,29.9,29.9,0.00
28,28,48,42.1,37,41,38.2,36,97,86.3,66,10,3.4,0,29.9,29.8,29.8,0.00
29,29,50,41.4,33,43,38.0,33,100,88.1,74,13,2.7,0,29.9,29.9,29.9,0.00
30,30,49,38.2,31,40,30.4,0,100,88.7,63,10,3.5,0,30.0,29.9,29.9,0.00
31,31,48,38.2,29,40,33.6,0,100,88.2,63,6,2.0,0,30.1,30.0,30.0,0.00
1,1,52,39.8,31,42,30.6,0,100,82.3,53,8,4.0,0,30.1,30.0,30.0,0.00
2,2,54,39.9,30,39,30.3,0,96,78.5,38,8,5.0,0,30.0,29.9,29.9,0.00
3,3,56,44.9,34,43,35.4,0,100,77.8,52,12,4.5,0,30.1,30.0,29.9,0.00
4,4,51,41.5,35,45,39.4,34,100,92.6,71,7,2.9,0,30.1,30.0,29.9,0.00
5,5,49,42.7,37,45,41.0,36,100,94.0,80,7,2.5,0,30.0,29.9,29.9,0.00
6,6,52,41.9,34,45,39.6,34,100,92.3,74,14,2.8,0,30.0,30.0,29.9,0.00
7,7,50,47.2,43,50,46.5,41,100,97.3,86,5,0.5,0,30.1,30.1,30.0,0.00
8,8,50,45.0,37,47,44.3,37,100,97.7,86,7,2.1,0,30.1,30.0,29.9,0.00
9,9,49,44.0,37,48,42.4,33,100,94.1,68,17,7.8,0,29.9,29.9,29.8,0.00
10,10,45,38.9,34,39,36.3,34,100,91.3,71,9,3.0,0,30.0,30.0,29.9,0.00
11,11,46,39.1,32,39,34.6,0,100,90.7,76,8,2.9,0,30.0,30.0,30.0,0.00
12,12,45,36.0,29,34,22.2,0,100,83.6,49,12,4.1,0,30.1,30.0,30.0,0.00
13,13,46,34.5,27,30,27.6,25,96,78.4,46,13,4.3,0,30.1,30.1,30.0,0.00
14,14,49,35.6,26,35,25.2,0,96,80.4,42,12,4.0,0,30.2,30.2,30.1,0.00
15,15,48,37.0,28,38,33.0,27,100,86.5,63,5,1.2,0,30.3,30.2,30.2,0.00
16,16,49,38.6,31,43,35.3,0,100,95.2,77,6,1.1,0,30.2,30.1,30.0,0.00
17,17,41,36.8,32,41,31.6,0,100,100.0,100,5,1.3,0,30.1,30.0,29.9,0.00
18,18,45,34.6,28,42,27.5,0,100,98.8,87,5,1.0,0,30.0,30.0,29.9,0.00
19,19,49,35.7,28,44,35.0,27,100,97.3,83,6,0.9,0,30.1,30.0,29.9,0.00
20,20,54,41.6,30,45,35.9,0,100,86.0,59,5,2.1,0,30.0,30.0,29.9,0.00
21,21,68,46.0,35,43,29.6,0,97,70.7,21,8,3.7,0,29.9,29.9,29.8,0.00
22,22,60,47.4,37,43,33.1,0,90,69.8,41,7,2.5,0,29.9,29.8,29.7,0.00
23,23,63,50.9,45,52,46.9,24,100,89.5,24,18,3.3,0,29.9,29.8,29.6,0.00
24,24,54,48.1,45,52,47.6,45,100,98.2,86,6,1.1,0,30.0,29.9,29.9,0.00
25,25,54,48.5,45,52,48.0,45,100,98.2,89,10,3.3,0,30.0,29.9,29.8,0.00
26,26,50,43.3,36,45,41.5,36,100,93.8,77,7,2.3,0,29.9,29.9,29.8,0.00
27,27,48,41.0,35,42,38.6,35,100,91.5,74,9,2.8,0,30.1,30.0,29.9,0.00
28,28,48,43.9,39,44,41.8,39,100,92.6,80,14,4.1,0,30.2,30.1,30.0,0.00
29,29,52,44.6,39,45,42.8,39,100,93.5,71,18,3.5,0,30.3,30.2,30.2,0.00
30,30,53,43.4,37,46,40.6,37,100,90.7,66,13,2.7,0,30.3,30.2,30.1,0.00
31,31,48,41.0,36,45,40.5,36,100,98.4,80,7,2.4,0,30.1,30.1,30.0,0.00
1,1,60,43.7,33,46,37.1,0,100,84.5,44,7,2.7,0,30.0,30.0,29.9,0.00
2,2,54,45.7,36,46,42.8,35,100,89.9,72,6,1.9,0,30.1,30.1,30.0,0.00
3,3,52,46.4,37,46,42.8,37,100,87.8,71,14,3.9,0,30.1,30.0,30.0,0.00
4,4,48,45.7,44,44,43.0,42,96,90.5,83,7,1.4,0,30.0,29.9,29.9,0.00
5,5,52,47.4,44,48,45.0,41,100,91.2,82,13,5.4,0,30.0,29.9,29.8,0.00
6,6,52,46.5,40,44,41.2,38,93,82.5,66,15,6.8,3,30.0,29.9,29.8,0.00
7,7,48,42.3,38,43,39.8,37,100,91.4,74,15,6.3,0,29.9,29.8,29.8,0.00
8,8,51,40.5,31,40,31.5,0,100,82.7,58,17,7.1,0,29.9,29.9,29.8,0.00
9,9,52,42.7,31,40,33.0,26,97,70.5,46,16,5.3,0,30.0,29.9,29.9,0.00
10,10,54,42.0,31,43,35.4,0,100,85.7,55,15,3.6,0,29.9,29.9,29.9,0.00
11,11,50,41.0,35,43,39.0,35,100,92.8,71,8,3.4,0,30.1,30.0,29.9,0.00
12,12,57,42.9,33,45,36.7,0,100,88.0,57,18,5.0,0,30.2,30.2,30.1,0.00
13,13,52,42.3,36,45,40.6,35,100,93.9,74,17,2.8,0,30.2,30.2,30.1,0.00
14,14,59,43.8,36,46,41.4,36,100,92.4,60,8,1.6,0,30.2,30.1,30.0,0.00
15,15,62,48.8,38,42,38.6,35,100,71.3,37,8,2.0,0,30.1,30.0,30.0,0.00
16,16,50,42.8,37,45,40.9,36,100,93.1,80,15,4.6,0,30.1,30.0,30.0,0.00
17,17,51,41.0,30,40,37.3,30,100,87.7,61,20,5.0,0,30.0,29.9,29.9,0.00
18,18,47,42.7,37,41,38.6,36,97,86.0,74,12,3.4,0,29.9,29.8,29.7,0.00
19,19,44,39.8,34,40,35.5,0,100,87.4,73,20,7.8,0,29.8,29.6,29.5,0.00
20,20,50,40.3,29,40,35.3,28,100,83.7,59,15,5.2,0,29.9,29.9,29.8,0.00
21,21,50,41.8,33,41,37.3,33,100,85.3,61,14,5.0,0,30.1,30.0,29.9,0.00
22,22,51,43.1,32,45,38.1,0,100,91.0,71,9,3.4,0,30.1,30.0,30.0,0.00
23,23,49,42.8,36,43,37.6,34,100,83.1,56,18,7.4,0,30.2,30.1,30.0,0.00
24,24,49,40.0,29,39,32.4,0,97,83.0,63,17,5.9,0,30.2,30.1,30.1,0.00
25,25,51,43.7,34,45,39.2,33,100,84.8,63,20,6.1,0,30.2,30.1,30.1,0.00
26,26,52,39.1,29,38,32.1,0,100,84.4,49,12,3.1,0,30.2,30.1,30.1,0.00
27,27,53,46.4,31,49,41.0,0,100,86.3,43,6,3.3,0,30.2,30.1,30.1,0.00
28,28,57,51.3,48,54,50.7,46,100,98.0,88,9,1.7,0,30.3,30.2,30.1,0.00
1,1,50,47.2,46,48,46.9,46,100,99.0,93,12,3.2,0,30.3,30.2,30.1,0.00
2,2,49,46.4,45,48,46.1,45,100,98.9,93,10,2.8,0,30.1,30.0,29.9,0.00
3,3,52,46.6,39,47,45.2,39,100,95.1,76,9,3.2,0,30.0,29.9,29.9,0.00
4,4,49,44.4,41,44,40.8,36,100,87.8,69,10,4.8,0,29.9,29.9,29.8,0.00
5,5,52,46.9,40,45,38.3,28,96,74.4,43,22,10.2,3,29.8,29.6,29.4,0.00
6,6,51,43.6,37,44,39.9,37,100,87.3,74,21,11.0,6,29.8,29.6,29.4,0.00
7,7,51,43.4,35,42,37.2,34,100,79.8,61,15,5.6,0,29.8,29.8,29.7,0.00
8,8,50,44.3,34,43,40.1,34,100,85.7,74,16,5.8,0,29.9,29.8,29.8,0.00
9,9,53,45.3,39,46,41.2,36,100,86.3,57,15,6.0,0,30.2,30.1,29.9,0.00
10,10,53,42.6,36,45,40.5,35,100,92.8,69,13,3.3,0,30.2,30.2,30.1,0.00
11,11,48,44.8,39,46,43.7,37,100,96.0,87,10,2.0,0,30.1,30.1,30.0,0.00
12,12,52,46.1,43,47,45.3,43,100,97.0,82,16,3.8,0,30.0,30.0,30.0,0.00
13,13,48,45.3,43,46,45.0,43,100,98.5,87,9,3.0,0,30.0,30.0,29.9,0.00
14,14,54,45.6,41,47,44.1,41,100,94.5,69,14,2.5,0,30.0,30.0,29.9,0.00
