,Date,Max Air Temp (F),Avg Air Temp (F),Min Air Temp (F),Max Dew Point (F),Avg Dew Point (F),Min Dew Point (F),Max Rel Hum (%),Avg Rel Hum (%),Min Rel Hum (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Precip (in)
1,1,64,60.7,57,59,56.2,52,90,85.3,78,12,7.1,3,29.8,29.7,29.7,0.00
2,2,64,61.4,60,58,56.6,54,90,84.4,72,17,11.4,3,29.7,29.6,29.6,0.00
3,3,65,58.3,54,57,53.3,52,97,83.7,67,8,3.6,0,29.9,29.8,29.7,0.00
4,4,62,56.1,52,54,53.0,51,100,89.5,72,8,2.5,0,29.9,29.9,29.8,0.00
5,5,62,57.7,53,55,52.2,50,93,82.4,70,8,3.7,0,29.9,29.8,29.7,0.00
6,6,59,57.0,55,56,54.6,53,99,91.9,86,15,9.3,6,29.8,29.7,29.7,0.00
7,7,62,56.0,49,55,49.6,45,91,79.2,59,12,4.9,0,29.8,28.6,0.0,0.00
8,8,59,52.3,46,50,47.6,44,97,84.9,67,9,3.1,0,29.7,29.7,29.7,0.00
9,9,58,50.3,47,48,46.5,44,97,87.6,70,7,1.9,0,29.9,29.8,29.7,0.00
10,10,60,49.6,43,48,44.4,40,93,83.0,62,5,1.2,0,29.9,29.8,29.8,0.00
11,11,65,50.6,43,48,44.9,41,100,82.5,52,6,1.7,0,29.8,29.7,29.5,0.00
12,12,52,49.1,46,47,44.7,42,90,84.7,77,10,3.8,0,29.6,29.5,29.5,0.00
13,13,58,46.6,39,45,40.6,34,100,81.3,51,10,2.8,0,29.6,29.5,29.5,0.00
14,14,54,42.6,34,41,37.8,34,100,84.5,47,7,1.8,0,29.7,29.6,29.5,0.00
15,15,51,44.6,39,43,39.2,36,97,82.1,59,6,2.2,0,29.8,29.7,29.7,0.00
16,16,59,49.9,38,43,37.7,34,86,65.1,41,7,2.6,0,29.8,29.8,29.7,0.00
17,17,65,57.1,53,54,46.9,41,86,69.3,56,13,9.0,5,29.8,29.7,29.6,0.00
18,18,53,48.0,39,49,37.7,25,89,69.4,35,26,11.8,3,29.8,29.6,29.6,0.00
19,19,51,41.6,34,31,26.0,0,82,65.0,43,10,4.3,0,30.0,29.9,29.8,0.00
20,20,60,44.5,32,33,28.3,20,85,57.2,21,7,2.6,0,29.9,29.8,29.8,0.00
21,21,60,48.9,35,42,30.3,0,73,53.7,33,13,6.1,0,29.7,29.7,29.6,0.00
22,22,57,51.4,47,49,43.9,33,89,76.3,56,20,8.1,0,29.8,29.7,29.6,0.00
23,23,54,51.4,48,50,47.9,46,100,88.2,77,20,9.1,3,29.8,29.8,29.6,0.00
24,24,58,49.5,44,50,44.5,41,97,84.2,53,16,7.0,0,29.8,29.8,29.6,0.00
25,25,51,46.2,41,46,43.3,39,93,89.4,77,14,3.8,0,29.8,29.7,29.6,0.00
26,26,56,48.8,45,44,42.8,40,93,80.3,57,13,3.1,0,29.7,29.6,29.6,0.00
27,27,53,46.1,39,43,40.4,37,93,81.7,61,12,3.3,0,29.8,29.8,29.7,0.00
28,28,51,43.4,35,43,34.9,0,93,79.8,61,8,1.8,0,29.9,29.8,29.7,0.00
29,29,54,46.4,41,41,38.9,36,93,75.8,51,9,3.8,0,29.7,29.7,29.6,0.00
30,30,54,45.2,39,40,38.1,37,93,77.6,53,9,2.6,0,29.8,29.7,29.7,0.00
31,31,52,44.5,37,39,36.0,33,89,73.6,49,8,3.4,0,29.9,29.9,29.8,0.00
1,1,55,43.5,36,38,30.7,0,86,73.0,43,10,3.0,0,29.9,29.9,29.8,0.00
2,2,54,42.5,32,39,32.1,0,89,75.7,55,6,1.6,0,29.9,29.9,29.8,0.00
3,3,57,42.4,33,39,30.4,0,93,77.7,47,7,1.8,0,29.9,29.9,29.8,0.00
