,Date,Max Air Temp (F),Avg Air Temp (F),Min Air Temp (F),Max Dew Point (F),Avg Dew Point (F),Min Dew Point (F),Max Rel Hum (%),Avg Rel Hum (%),Min Rel Hum (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Precip (in)
0,1,60,56.4,55,56,54.2,52,96,91.5,78,13,7.3,3,29.3,29.2,29.0,0.00
1,2,63,55.5,42,57,50.3,40,100,83.8,57,21,8.6,0,29.4,29.1,28.9,0.00
2,3,56,43.0,37,48,40.3,36,100,91.1,61,7,0.2,0,29.6,29.5,29.4,0.00
3,4,54,52.0,49,52,48.9,46,96,89.4,80,12,4.7,0,29.5,29.5,29.4,0.00
4,5,61,55.0,52,55,53.4,50,100,93.9,81,6,0.9,0,29.5,29.5,29.4,0.00
5,6,57,49.9,39,50,45.2,38,100,84.5,64,8,1.6,0,29.5,29.5,29.4,0.00
6,7,57,43.0,36,43,37.9,34,97,83.6,55,6,1.2,0,29.5,29.5,29.4,0.00
7,8,57,39.5,32,43,29.1,0,100,87.6,53,3,0.1,0,29.5,29.4,29.4,0.00
8,9,63,46.7,36,47,40.0,34,97,80.0,46,6,1.0,0,29.6,29.5,29.5,0.00
9,10,66,47.8,36,49,41.9,35,97,82.4,45,3,0.5,0,29.6,29.5,29.4,0.00
10,11,56,42.1,36,46,40.3,36,100,93.6,66,6,0.4,0,29.4,29.3,29.2,0.00
11,12,51,41.0,34,43,36.6,0,100,88.0,56,10,1.4,0,29.3,29.2,29.1,0.00
12,13,51,33.9,28,36,27.2,0,100,91.0,52,5,0.4,0,29.3,29.3,29.2,0.00
13,14,50,40.3,33,37,31.2,0,96,80.0,54,7,1.1,0,29.4,29.3,29.2,0.00
14,15,41,35.5,30,40,29.0,0,100,94.7,87,6,1.2,0,29.4,29.4,29.3,0.00
15,16,51,44.4,41,49,42.7,39,100,93.8,87,12,2.9,0,29.4,29.4,29.3,0.00
16,17,54,49.0,35,52,43.6,0,96,85.5,59,12,4.2,0,29.4,29.3,29.2,0.00
17,18,48,38.1,31,33,26.6,0,92,72.8,46,12,3.8,0,29.6,29.4,29.4,0.00
18,19,50,38.0,27,31,27.9,25,92,69.5,46,10,3.1,0,29.6,29.6,29.5,0.00
19,20,48,45.5,41,46,39.2,27,93,79.9,51,16,9.9,0,29.5,29.3,29.2,0.00
20,21,52,49.2,46,50,46.6,46,100,91.4,80,14,6.0,0,29.2,29.2,29.1,0.00
21,22,52,45.6,41,45,41.2,37,96,85.1,63,17,5.3,0,29.4,29.2,29.1,0.00
22,23,57,47.8,40,51,44.6,38,100,88.8,67,17,5.9,0,29.4,29.2,29.1,0.00
23,24,51,40.9,35,40,38.2,35,100,91.0,61,3,0.2,0,29.6,29.5,29.4,0.00
24,25,45,42.8,39,43,40.1,39,100,90.7,81,10,2.7,0,29.5,29.3,29.1,0.00
25,26,52,44.7,40,43,40.3,37,100,85.1,61,15,4.9,0,29.4,29.3,29.2,0.00
26,27,52,41.5,35,39,36.7,34,97,84.6,59,5,0.6,0,29.5,29.5,29.4,0.00
27,28,47,38.4,36,39,36.3,34,100,92.6,71,6,0.8,0,29.5,29.5,29.4,0.00
28,29,54,40.0,34,38,36.1,34,100,87.8,47,3,0.1,0,29.4,29.4,29.3,0.00
29,30,53,34.6,30,38,28.7,0,100,90.0,48,3,0.1,0,29.5,29.4,29.4,0.00
30,31,48,32.0,28,37,27.1,0,100,90.6,54,6,0.4,0,29.6,29.6,29.6,0.00
31,1,52,32.3,27,34,27.4,0,100,90.2,50,5,0.7,0,29.6,29.6,29.5,0.00
32,2,56,35.9,26,36,25.9,0,96,79.9,37,3,0.4,0,29.6,29.5,29.5,0.00
33,3,53,38.0,26,38,25.7,0,93,78.8,47,3,0.1,0,29.6,29.6,29.5,0.00
34,4,59,40.2,30,40,32.7,0,96,80.7,42,3,0.2,0,29.6,29.6,29.5,0.00
35,5,45,37.0,30,43,32.6,0,100,94.4,81,8,1.1,0,29.6,29.5,29.4,0.00
