,Date,Max Air Temp (F),Avg Air Temp (F),Min Air Temp (F),Max Dew Point (F),Avg Dew Point (F),Min Dew Point (F),Max Rel Hum (%),Avg Rel Hum (%),Min Rel Hum (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Precip (in)
1,1,59,53.4,48,39,35.0,30,59,49.9,41,49,24.0,0,25.4,25.3,25.2,0.00
2,2,58,45.8,32,46,35.5,0,100,73.0,42,32,11.8,0,25.6,25.3,25.1,0.00
3,3,53,41.3,32,35,31.1,28,88,69.4,43,5,0.8,0,25.7,25.6,25.6,0.00
4,4,57,49.5,41,39,32.0,0,79,58.2,37,13,5.5,0,25.7,25.6,25.6,0.00
5,5,52,47.7,44,47,43.9,41,93,86.8,77,8,1.4,0,25.7,25.6,25.6,0.00
6,6,52,42.4,38,41,38.1,31,100,85.9,61,8,1.3,0,25.7,25.6,25.5,0.00
7,7,54,39.8,30,34,25.3,0,92,68.4,41,3,0.6,0,25.7,25.6,25.6,0.00
8,8,52,38.5,27,27,23.3,20,81,57.7,29,8,1.2,0,25.7,25.6,25.6,0.00
9,9,47,36.3,28,26,24.5,22,85,64.7,39,8,1.9,0,25.9,25.8,25.7,0.00
10,10,51,36.8,26,30,26.0,22,85,67.6,43,5,0.3,0,25.9,25.8,25.7,0.00
11,11,63,42.2,27,29,21.1,7,85,51.6,11,26,7.3,0,25.7,25.4,25.2,0.00
12,12,45,38.2,30,33,24.8,0,86,62.6,46,18,4.9,0,25.3,25.3,25.2,0.00
13,13,39,29.4,24,20,17.6,15,75,62.3,43,9,2.5,0,25.4,25.4,25.3,0.00
14,14,37,28.9,19,27,20.4,13,92,71.5,46,13,4.2,0,25.5,25.4,25.3,0.00
15,15,37,29.8,22,26,22.3,16,93,74.7,42,8,2.2,0,25.5,25.5,25.4,0.00
16,16,49,40.7,30,31,26.1,0,79,60.4,46,18,5.9,0,25.5,25.4,25.3,0.00
17,17,49,43.2,33,37,30.2,23,76,61.0,46,26,13.0,5,25.4,25.4,25.3,0.00
18,18,36,30.1,23,23,16.1,10,72,56.8,36,21,8.5,0,25.6,25.5,25.4,0.00
19,19,37,26.0,17,13,9.6,6,71,51.5,30,8,3.0,0,25.8,25.7,25.6,0.00
20,20,53,36.0,18,15,12.8,9,78,44.4,21,30,10.1,0,25.7,25.5,25.4,0.00
21,21,53,43.3,36,31,18.0,0,81,47.2,16,43,27.5,14,25.4,25.3,25.3,0.00
22,22,43,35.3,32,36,28.1,0,100,84.8,60,24,8.6,0,25.5,25.4,25.3,0.00
23,23,48,39.2,33,36,26.4,0,93,70.9,45,44,14.1,0,25.5,25.4,25.3,0.00
24,24,39,34.9,27,28,18.5,8,76,53.1,28,17,6.7,0,25.7,25.6,25.4,0.00
25,25,40,31.9,24,31,17.9,0,96,81.2,48,7,2.1,0,25.6,25.4,25.3,0.00
26,26,36,32.1,26,31,27.6,22,100,84.9,64,16,5.6,0,25.5,25.4,25.2,0.00
27,27,35,28.6,22,26,22.0,15,92,77.0,54,7,1.9,0,25.7,25.6,25.5,0.00
28,28,30,25.4,18,25,18.7,10,93,76.3,61,6,1.8,0,25.7,25.6,25.6,0.00
29,29,31,28.3,26,26,23.4,21,93,82.1,72,3,0.4,0,25.6,25.6,25.5,0.00
30,30,30,26.4,17,25,21.2,13,93,81.0,61,12,4.1,0,25.7,25.6,25.5,0.00
31,31,27,18.6,12,16,12.1,8,88,76.5,61,6,1.5,0,25.9,25.8,25.7,0.00
1,1,29,20.7,16,17,13.4,11,86,74.3,58,8,2.1,0,26.0,25.9,25.7,0.00
2,2,30,19.2,12,13,10.3,6,84,69.3,49,5,1.0,0,26.0,25.9,25.8,0.00
3,3,30,19.8,12,15,11.0,6,81,69.5,51,6,1.0,0,25.9,25.9,25.8,0.00
4,4,32,20.6,12,18,13.3,8,92,74.7,54,3,0.2,0,25.9,25.9,25.8,0.00
5,5,31,24.0,15,20,15.7,11,84,71.8,57,5,0.9,0,25.9,25.8,25.6,0.00
6,6,34,27.0,23,21,19.3,17,85,73.0,56,5,0.8,0,25.8,25.7,25.6,0.00
7,7,39,27.9,17,25,20.5,13,89,75.2,52,6,0.8,0,25.8,25.8,25.7,0.00
8,8,48,33.9,24,31,26.4,21,88,75.4,52,5,0.7,0,25.8,25.8,25.7,0.00
9,9,59,38.3,24,34,26.2,0,93,69.4,27,28,11.0,0,25.7,25.4,25.3,0.00
