,Date,Max Air Temp (F),Avg Air Temp (F),Min Air Temp (F),Max Dew Point (F),Avg Dew Point (F),Min Dew Point (F),Max Rel Hum (%),Avg Rel Hum (%),Min Rel Hum (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Precip (in)
1,1,64,59.6,56,59,57.3,54,100,92.3,84,20,15.5,10,30.0,29.9,29.9,0.00
2,2,62,56.4,46,58,53.6,44,100,90.3,69,28,11.2,0,30.1,29.9,29.8,0.00
3,3,61,50.9,42,50,46.2,41,100,84.9,60,9,2.6,0,30.2,30.1,30.1,0.00
4,4,60,55.0,49,54,51.9,48,100,89.5,80,9,5.3,0,30.2,30.2,30.1,0.00
5,5,58,56.1,54,57,55.3,51,100,97.1,81,12,6.2,0,30.1,30.1,30.1,0.00
6,6,59,54.5,50,55,51.8,48,100,91.0,78,13,7.1,3,30.1,30.1,30.0,0.00
7,7,59,48.4,41,48,44.8,41,100,89.0,58,9,3.5,0,30.1,30.1,30.0,0.00
8,8,53,45.4,41,47,44.3,40,100,96.4,74,9,3.4,0,30.1,30.1,30.0,0.00
9,9,61,43.4,35,45,39.4,34,100,87.9,50,10,2.5,0,30.2,30.1,30.1,0.00
10,10,61,46.4,39,48,43.7,39,100,91.7,56,7,2.9,0,30.2,30.1,30.1,0.00
11,11,62,47.6,0,49,43.7,0,100,84.7,0,15,7.1,0,30.1,29.9,29.8,0.00
12,12,57,48.8,40,48,45.0,39,100,88.1,55,13,5.3,0,29.9,29.8,29.8,0.00
13,13,51,40.8,36,45,39.0,34,100,93.5,68,9,3.7,0,29.9,29.9,29.8,0.00
14,14,51,40.3,32,41,33.0,0,100,88.3,61,9,3.0,0,30.0,29.9,29.8,0.00
15,15,48,36.4,30,43,28.6,0,100,95.3,80,12,2.9,0,30.1,30.0,30.0,0.00
16,16,54,47.4,39,46,42.0,37,97,82.6,59,15,9.8,5,30.1,30.0,30.0,0.00
17,17,55,51.3,46,53,48.8,43,100,91.3,77,18,12.1,0,30.0,30.0,29.9,0.00
18,18,52,45.1,39,43,28.3,0,93,69.3,44,17,11.4,7,30.1,30.0,29.9,0.00
19,19,51,39.9,32,31,26.8,0,85,68.1,39,10,5.0,0,30.3,30.2,30.1,0.00
20,20,55,43.2,33,35,22.6,0,89,67.2,37,16,10.4,0,30.2,30.1,30.0,0.00
21,21,55,46.9,40,41,31.5,0,76,64.1,47,26,14.3,6,30.0,29.9,29.9,0.00
22,22,53,49.3,46,48,45.5,41,97,87.1,71,24,14.8,8,30.1,29.9,29.8,0.00
23,23,53,49.5,47,49,47.5,46,100,93.2,83,38,17.6,5,30.1,29.9,29.9,0.00
24,24,50,43.6,38,46,42.5,37,100,96.0,86,13,4.8,0,30.2,30.1,30.0,0.00
25,25,47,42.0,35,45,41.4,35,100,97.7,90,21,9.1,0,30.1,30.0,29.8,0.00
26,26,54,46.4,40,47,43.9,39,100,91.5,71,15,7.5,0,30.1,29.9,29.8,0.00
27,27,50,40.1,35,45,38.8,34,100,95.4,66,14,3.0,0,30.1,30.1,30.1,0.00
28,28,46,39.4,33,42,38.0,33,100,95.2,83,10,5.1,0,30.2,30.1,30.0,0.00
29,29,52,43.1,36,42,39.8,35,100,88.6,66,9,4.1,0,30.0,30.0,30.0,0.00
30,30,52,38.9,32,41,28.6,0,100,86.7,57,16,6.0,0,30.1,30.0,30.0,0.00
31,31,49,39.4,30,37,29.7,0,92,77.3,56,13,3.8,0,30.3,30.2,30.1,0.00
1,1,52,38.5,30,38,32.0,0,100,85.9,53,8,4.2,0,30.3,30.2,30.2,0.00
2,2,53,37.8,28,37,31.8,0,100,84.9,52,6,1.6,0,30.2,30.2,30.1,0.00
3,3,53,38.3,28,40,33.5,0,100,88.5,57,8,2.5,0,30.2,30.2,30.1,0.00
4,4,55,36.5,28,39,32.3,0,100,89.5,53,5,0.8,0,30.3,30.2,30.2,0.00
5,5,50,41.1,33,45,38.1,0,100,96.3,77,8,2.5,0,30.3,30.1,30.1,0.00
6,6,50,43.6,36,46,42.9,36,100,97.6,83,10,4.0,0,30.1,30.1,30.0,0.00
7,7,50,42.0,36,45,40.3,36,100,94.3,76,13,3.5,0,30.2,30.2,30.1,0.00
8,8,55,43.1,34,43,39.4,34,100,88.0,64,6,2.1,0,30.2,30.2,30.1,0.00
9,9,50,44.1,37,46,40.8,34,100,88.6,63,23,6.3,0,30.1,30.0,29.9,0.00
10,10,50,40.7,34,37,24.3,0,89,73.7,44,16,7.8,0,30.1,30.1,30.0,0.00
11,11,50,39.8,31,35,21.3,0,92,72.7,48,8,4.0,0,30.2,30.1,30.1,0.00
12,12,47,36.8,28,31,25.9,0,96,71.1,39,8,3.7,0,30.2,30.2,30.1,0.00
13,13,45,34.5,25,30,25.7,23,96,72.5,42,14,6.5,0,30.2,30.2,30.1,0.00
14,14,47,35.6,28,28,24.1,20,85,64.3,42,7,3.0,0,30.4,30.3,30.2,0.00
15,15,51,38.2,28,31,26.2,0,92,71.5,44,6,2.0,0,30.5,30.4,30.4,0.00
16,16,55,38.8,27,36,27.3,0,96,76.8,42,6,1.2,0,30.4,30.3,30.3,0.00
17,17,59,40.7,28,39,31.7,0,96,77.2,41,5,0.8,0,30.3,30.2,30.1,0.00
18,18,59,35.8,27,41,30.0,0,100,89.1,44,5,0.3,0,30.2,30.2,30.1,0.00
19,19,60,40.8,30,41,30.7,0,100,83.1,44,6,1.2,0,30.3,30.2,30.1,0.00
20,20,60,38.9,27,41,30.9,0,100,84.5,44,6,0.6,0,30.2,30.2,30.1,0.00
21,21,61,41.3,27,40,32.4,0,100,80.8,41,5,0.8,0,30.2,30.1,30.1,0.00
22,22,65,40.6,28,44,29.4,0,100,84.7,38,9,3.1,0,30.1,30.1,30.0,0.00
23,23,52,47.1,42,47,44.6,40,100,91.1,74,16,5.0,0,30.1,30.0,30.0,0.00
24,24,52,49.4,46,52,48.9,46,100,98.3,92,10,3.8,0,30.2,30.1,30.0,0.00
25,25,60,51.6,48,55,50.8,48,100,97.4,82,7,2.6,0,30.2,30.1,30.0,0.00
26,26,60,50.1,44,52,46.5,38,100,88.8,51,21,6.3,0,30.0,30.0,29.9,0.00
27,27,55,45.7,37,39,34.4,0,89,70.0,42,15,8.8,0,30.1,30.1,30.0,0.00
28,28,57,46.6,37,41,36.7,34,89,70.3,44,17,10.0,0,30.2,30.2,30.1,0.00
29,29,59,48.1,40,41,39.3,37,89,73.1,48,16,8.9,0,30.3,30.3,30.2,0.00
30,30,62,47.2,35,44,39.3,34,97,76.8,48,7,4.2,0,30.3,30.3,30.2,0.00
31,31,65,47.5,36,44,40.3,35,100,79.4,45,3,0.6,0,30.3,30.2,30.1,0.00
1,1,65,42.2,32,47,35.2,0,100,89.9,50,7,1.9,0,30.2,30.2,30.1,0.00
2,2,60,46.9,39,48,43.1,39,100,87.8,60,8,2.9,0,30.3,30.2,30.2,0.00
3,3,61,42.4,36,47,40.1,36,100,93.0,60,12,2.7,0,30.2,30.2,30.1,0.00
4,4,64,45.5,36,47,40.9,36,100,86.9,50,7,2.0,0,30.1,30.1,30.0,0.00
5,5,57,45.5,37,45,42.4,37,100,90.4,62,14,4.8,0,30.1,30.0,30.0,0.00
6,6,59,47.2,39,46,41.1,37,100,81.4,49,12,5.3,0,30.1,30.1,30.1,0.00
7,7,55,46.5,37,45,40.4,36,100,80.5,57,9,4.9,0,30.1,30.1,30.0,0.00
8,8,55,43.3,36,40,33.5,0,100,77.3,37,20,8.6,0,30.0,29.9,29.9,0.00
9,9,56,43.4,30,31,29.0,27,88,59.4,36,12,4.8,0,30.1,30.0,29.9,0.00
10,10,57,42.9,31,38,28.8,0,96,70.5,42,7,3.0,0,30.1,30.0,30.0,0.00
